ENSECAG00000000001      MTPAP
ENSECAG00000000002	RPE
ENSECAG00000000376	LYSMD4
ENSECAG00000000377	BRIX1
ENSECAG00000000378	PABPN1L
ENSECAG00000000381	DMXL2
ENSECAG00000000382	CLEC2B
ENSECAG00000000383	TOP1
ENSECAG00000000384	ERP29
ENSECAG00000000385	GPA33
ENSECAG00000000386	LRRC23
ENSECAG00000000387	FGL2
ENSECAG00000000390	ZNF250
ENSECAG00000000391	C14orf79
ENSECAG00000000392	DCAF1
ENSECAG00000000395	RAPGEF5
ENSECAG00000000396	ICAM2
ENSECAG00000000397	SDHA
ENSECAG00000000398	PITRM1
ENSECAG00000000399	ATXN7L1
ENSECAG00000000400	JAML
ENSECAG00000000401	AP002962.1
ENSECAG00000000402	NDUFS7
ENSECAG00000000404	FKBP9
ENSECAG00000000406	C6orf106
ENSECAG00000000407	MTMR6
ENSECAG00000000408	LCN9
ENSECAG00000000409	KCTD6
ENSECAG00000000410	GLT8D1
ENSECAG00000000411	MCFD2
ENSECAG00000000412	SMIM19
ENSECAG00000000413	DCAF6
ENSECAG00000000414	SLC2A2
ENSECAG00000000416	TGM7
ENSECAG00000000417	VWA2
ENSECAG00000000418	APOA5
ENSECAG00000000419	TRAC
ENSECAG00000000421	C14orf142
ENSECAG00000000422	TRAV14DV4
ENSECAG00000000423	USP16
ENSECAG00000000424	SDHAF3
ENSECAG00000000426	CENPL
ENSECAG00000000428	CMPK1
ENSECAG00000000429	POLRMT
ENSECAG00000000430	ACE2
ENSECAG00000000431	KCNH1
ENSECAG00000000432	CTF1
ENSECAG00000000434	TCL1A
ENSECAG00000000436	FCN1
ENSECAG00000000437	MBTPS2
ENSECAG00000000438	VDAC3
ENSECAG00000000439	GSX1
ENSECAG00000000440	TMEM8B
ENSECAG00000000442	DBNDD2
ENSECAG00000000444	TRAV9-2
ENSECAG00000000445	GML
ENSECAG00000000446	DZIP3
ENSECAG00000000448	AP002962.1
ENSECAG00000000449	NIT1
ENSECAG00000000450	TMCO1
ENSECAG00000000451	HOXA2
ENSECAG00000000452	DLX2
ENSECAG00000000453	GCFC2
ENSECAG00000000454	IGHV4-59
ENSECAG00000000455	CEP19
ENSECAG00000000458	LTBR
ENSECAG00000000460	FAM185A
ENSECAG00000000461	HOXA5
ENSECAG00000000462	ZC3H12C
ENSECAG00000000463	DOLPP1
ENSECAG00000000465	PTPN6
ENSECAG00000000466	ELL
ENSECAG00000000467	TRMU
ENSECAG00000000468	FOXF2
ENSECAG00000000469	FAM188A
ENSECAG00000000470	NRROS
ENSECAG00000000471	KIF1BP
ENSECAG00000000473	ATAD1
ENSECAG00000000474	GABARAPL2
ENSECAG00000000475	DNAH1
ENSECAG00000000477	AC013461.1
ENSECAG00000000478	CA5B
ENSECAG00000000479	SETD3
ENSECAG00000000482	BCL7C
ENSECAG00000000484	PPARA
ENSECAG00000000486	AP002962.1
ENSECAG00000000487	SYNM
ENSECAG00000000488	SPERT
ENSECAG00000000489	GNAI2
ENSECAG00000000492	REV3L
ENSECAG00000000494	BHLHE41
ENSECAG00000000495	SLIT3
ENSECAG00000000496	PRR14
ENSECAG00000000497	THOC7
ENSECAG00000000498	ARL10
ENSECAG00000000500	IFI6
ENSECAG00000000501	UNC5CL
ENSECAG00000000502	IQCK
ENSECAG00000000505	SIGLEC11
ENSECAG00000000506	TSTD1
ENSECAG00000000507	XPO5
ENSECAG00000000508	ZNF418
ENSECAG00000000509	G6PC
ENSECAG00000000511	CFL2
ENSECAG00000000512	LBH
ENSECAG00000000513	PRELID3B
ENSECAG00000000514	VSIG2
ENSECAG00000000515	SLC34A3
ENSECAG00000000516	CHPF
ENSECAG00000000517	HTRA2
ENSECAG00000000518	ARID1B
ENSECAG00000000519	RAB44
ENSECAG00000000520	STK17B
ENSECAG00000000521	CD1A
ENSECAG00000000522	KCNK16
ENSECAG00000000525	SLC39A12
ENSECAG00000000526	DHX38
ENSECAG00000000527	SLC4A1
ENSECAG00000000529	MAP1S
ENSECAG00000000531	MTCL1
ENSECAG00000000532	EPS8L1
ENSECAG00000000535	BPIFB6
ENSECAG00000000536	SEC23IP
ENSECAG00000000537	XDH
ENSECAG00000000538	ZNF385B
ENSECAG00000000539	DDX6
ENSECAG00000000540	CCDC174
ENSECAG00000000541	PTCH2
ENSECAG00000000543	CYBRD1
ENSECAG00000000544	HECW2
ENSECAG00000000545	RUVBL1
ENSECAG00000000546	CCDC62
ENSECAG00000000547	TM9SF4
ENSECAG00000000548	ENST00000615655
ENSECAG00000000550	TDRD3
ENSECAG00000000551	PAX5
ENSECAG00000000552	TRIM58
ENSECAG00000000554	KPNA7
ENSECAG00000000556	POLR2D
ENSECAG00000000557	RPUSD4
ENSECAG00000000558	KIF5B
ENSECAG00000000559	SLC5A11
ENSECAG00000000560	RAET1E
ENSECAG00000000562	ZDHHC8
ENSECAG00000000564	CRACR2A
ENSECAG00000000565	NSMAF
ENSECAG00000000566	RBM43
ENSECAG00000000567	NIPA1
ENSECAG00000000568	TMEM68
ENSECAG00000000571	AMTN
ENSECAG00000000572	FOXP4
ENSECAG00000000574	NIPAL4
ENSECAG00000000575	HOXA6
ENSECAG00000000576	FBXL15
ENSECAG00000000577	DAD1
ENSECAG00000000578	NIN
ENSECAG00000000580	GBA2
ENSECAG00000000583	C7orf57
ENSECAG00000000584	COX7A2L
ENSECAG00000000585	REV3L
ENSECAG00000000587	PRRG3
ENSECAG00000000589	HMGCS2
ENSECAG00000000590	MRPL45
ENSECAG00000000591	TRAF3IP2
ENSECAG00000000592	SS18L2
ENSECAG00000000593	PTN
ENSECAG00000000594	AKR7A2
ENSECAG00000000595	SLC30A9
ENSECAG00000000598	C19orf18
ENSECAG00000000599	PCDH7
ENSECAG00000000602	TRAV8-3
ENSECAG00000000603	DHODH
ENSECAG00000000604	OR8S1
ENSECAG00000000605	SEC22C
ENSECAG00000000606	MED18
ENSECAG00000000607	TRIB3
ENSECAG00000000609	BIRC2
ENSECAG00000000612	GSTT1
ENSECAG00000000614	SNX27
ENSECAG00000000616	BARX2
ENSECAG00000000619	ZNF75D
ENSECAG00000000620	RPL21
ENSECAG00000000622	CDK18
ENSECAG00000000623	TCF3
ENSECAG00000000624	PTPN2
ENSECAG00000000625	LRCH2
ENSECAG00000000626	PDPK1
ENSECAG00000000627	PDZRN4
ENSECAG00000000628	TRBV6-9
ENSECAG00000000632	ANO10
ENSECAG00000000633	ZWINT
ENSECAG00000000634	SMPDL3B
ENSECAG00000000636	ZNF709
ENSECAG00000000637	CACNB1
ENSECAG00000000638	SEL1L3
ENSECAG00000000640	PLCXD2
ENSECAG00000000641	PLAGL1
ENSECAG00000000642	SFPQ
ENSECAG00000000643	ABCB7
ENSECAG00000000644	MAP7D3
ENSECAG00000000645	NR2C1
ENSECAG00000000647	TRBV7-2
ENSECAG00000000650	NPL
ENSECAG00000000653	TIGD1
ENSECAG00000000655	BPGM
ENSECAG00000000657	CDCP2
ENSECAG00000000658	GPNMB
ENSECAG00000000659	CHRNB4
ENSECAG00000000660	PROK2
ENSECAG00000000661	ITLN1
ENSECAG00000000662	HMGCLL1
ENSECAG00000000665	TBC1D17
ENSECAG00000000666	CEP126
ENSECAG00000000668	COL4A1
ENSECAG00000000668	COL4A5
ENSECAG00000000669	ATP6V0E1
ENSECAG00000000671	LRRC27
ENSECAG00000000673	CIC
ENSECAG00000000674	HAPLN3
ENSECAG00000000675	RMND5B
ENSECAG00000000678	NFYC
ENSECAG00000000679	PDX1
ENSECAG00000000680	SLC35A4
ENSECAG00000000681	THEM5
ENSECAG00000000682	NDUFB5
ENSECAG00000000683	ZMYND11
ENSECAG00000000684	KDM8
ENSECAG00000000685	B2M
ENSECAG00000000686	LAPTM5
ENSECAG00000000689	PPP4R2
ENSECAG00000000691	WDR33
ENSECAG00000000692	LGALS3BP
ENSECAG00000000693	C8orf46
ENSECAG00000000697	BLVRB
ENSECAG00000000698	FXYD6
ENSECAG00000000699	SLC6A1
ENSECAG00000000700	EPRS
ENSECAG00000000702	FATE1
ENSECAG00000000703	OXSM
ENSECAG00000000706	MEGF11
ENSECAG00000000707	CDX1
ENSECAG00000000708	SARNP
ENSECAG00000000709	NLGN4X
ENSECAG00000000710	TMEM151B
ENSECAG00000000711	COIL
ENSECAG00000000712	SLIRP
ENSECAG00000000714	FAM26D
ENSECAG00000000715	LPXN
ENSECAG00000000716	RAB11B
ENSECAG00000000718	TAF15
ENSECAG00000000720	C6orf58
ENSECAG00000000721	MYCBPAP
ENSECAG00000000722	BTBD3
ENSECAG00000000723	MMAB
ENSECAG00000000725	ZMYND11
ENSECAG00000000726	HOXC9
ENSECAG00000000727	HTRA3
ENSECAG00000000728	PIGN
ENSECAG00000000730	S100A16
ENSECAG00000000731	C10orf82
ENSECAG00000000732	HLA-A
ENSECAG00000000733	C18orf21
ENSECAG00000000734	HMGA1
ENSECAG00000000735	MKNK1
ENSECAG00000000737	PRKAR1A
ENSECAG00000000738	CWC27
ENSECAG00000000739	FAM46D
ENSECAG00000000740	C6orf58
ENSECAG00000000741	TRBV10-1
ENSECAG00000000743	PRUNE1
ENSECAG00000000744	TBC1D2
ENSECAG00000000745	GPX3
ENSECAG00000000746	KIF3C
ENSECAG00000000748	CLRN1
ENSECAG00000000749	DLD
ENSECAG00000000750	MMP3
ENSECAG00000000751	NEDD4L
ENSECAG00000000752	EHF
ENSECAG00000000753	TTC17
ENSECAG00000000755	ENST00000382298
ENSECAG00000000757	MIS18BP1
ENSECAG00000000759	RPRD1A
ENSECAG00000000761	NXF2B
ENSECAG00000000763	CSRNP1
ENSECAG00000000765	AP002962.1
ENSECAG00000000766	AP002962.1
ENSECAG00000000768	LIPE
ENSECAG00000000769	MS4A13
ENSECAG00000000770	SLC35C1
ENSECAG00000000771	TP73
ENSECAG00000000773	GGT7
ENSECAG00000000774	SERPINB11
ENSECAG00000000775	CD8B
ENSECAG00000000777	AP002962.1
ENSECAG00000000778	BPIFB1
ENSECAG00000000779	SERPINB12
ENSECAG00000000780	KCTD3
ENSECAG00000000781	ANKLE1
ENSECAG00000000782	HNRNPA2B1
ENSECAG00000000783	DUSP27
ENSECAG00000000784	ESRP1
ENSECAG00000000785	ZNF709
ENSECAG00000000787	ADAMTS16
ENSECAG00000000788	MS4A8
ENSECAG00000000789	SH3BP5L
ENSECAG00000000790	CXCL17
ENSECAG00000000791	DMTN
ENSECAG00000000792	LUC7L
ENSECAG00000000794	EMB
ENSECAG00000000795	ADHFE1
ENSECAG00000000796	CETN2
ENSECAG00000000797	SUN2
ENSECAG00000000798	PLXNA4
ENSECAG00000000799	DNAAF3
ENSECAG00000000800	HS2ST1
ENSECAG00000000803	OR11H6
ENSECAG00000000805	DKK2
ENSECAG00000000806	TTC28
ENSECAG00000000808	TCTEX1D1
ENSECAG00000000809	QARS
ENSECAG00000000811	TIMM10B
ENSECAG00000000815	GRK1
ENSECAG00000000816	AMPD3
ENSECAG00000000817	NAP1L4
ENSECAG00000000820	OR11H6
ENSECAG00000000822	OR52W1
ENSECAG00000000823	ATG4C
ENSECAG00000000824	OR2M3
ENSECAG00000000825	KRT18
ENSECAG00000000826	MZT1
ENSECAG00000000827	C2orf57
ENSECAG00000000828	AFF3
ENSECAG00000000830	OR10H4
ENSECAG00000000832	CYP11B2
ENSECAG00000000835	CCDC152
ENSECAG00000000837	WWOX
ENSECAG00000000838	OR11G2
ENSECAG00000000840	NPPC
ENSECAG00000000841	HSPA1L
ENSECAG00000000842	OR10J1
ENSECAG00000000843	EFCAB5
ENSECAG00000000844	GABRA3
ENSECAG00000000846	OR8B3
ENSECAG00000000847	SLC16A9
ENSECAG00000000848	OR2M2
ENSECAG00000000851	GZMB
ENSECAG00000000854	MAGEA10
ENSECAG00000000855	TRIM23
ENSECAG00000000857	PRKCDBP
ENSECAG00000000858	C2orf82
ENSECAG00000000859	HEXIM1
ENSECAG00000000860	CSF1R
ENSECAG00000000861	CHCHD3
ENSECAG00000000862	HS3ST6
ENSECAG00000000863	SULT1B1
ENSECAG00000000864	C16orf71
ENSECAG00000000866	LCN9
ENSECAG00000000867	DNAJB6
ENSECAG00000000869	RPL26L1
ENSECAG00000000870	TVP23B
ENSECAG00000000871	CYP2C19
ENSECAG00000000872	TOR1AIP1
ENSECAG00000000873	MAGEA11
ENSECAG00000000874	ACKR1
ENSECAG00000000875	FOXL1
ENSECAG00000000876	OR2D3
ENSECAG00000000877	NDUFB2
ENSECAG00000000878	AP002962.1
ENSECAG00000000879	CAB39L
ENSECAG00000000880	SPATA33
ENSECAG00000000882	ENST00000312253
ENSECAG00000000883	RBM27
ENSECAG00000000886	OR52I1
ENSECAG00000000887	ARL4C
ENSECAG00000000889	ZNF322
ENSECAG00000000890	ENST00000361760
ENSECAG00000000891	LATS1
ENSECAG00000000893	CEACAM1
ENSECAG00000000895	CHAF1B
ENSECAG00000000896	ALDH3B1
ENSECAG00000000898	NAA40
ENSECAG00000000900	MC1R
ENSECAG00000000901	LUZP1
ENSECAG00000000902	DNHD1
ENSECAG00000000903	RASGRF2
ENSECAG00000000904	OR52A1
ENSECAG00000000905	TIGD1
ENSECAG00000000906	RGL2
ENSECAG00000000907	LARP1B
ENSECAG00000000909	CSPP1
ENSECAG00000000910	IFITM1
ENSECAG00000000911	OR52I2
ENSECAG00000000913	PICALM
ENSECAG00000000915	MS4A15
ENSECAG00000000916	BAHD1
ENSECAG00000000918	RORC
ENSECAG00000000921	OR52A1
ENSECAG00000000922	ASIC2
ENSECAG00000000924	GABRA2
ENSECAG00000000925	NEIL1
ENSECAG00000000928	OR52I1
ENSECAG00000000929	MAGEA10
ENSECAG00000000930	OR8B3
ENSECAG00000000931	TMEM119
ENSECAG00000000932	HOXC8
ENSECAG00000000933	MRPS15
ENSECAG00000000934	PCNX1
ENSECAG00000000935	OR10C1
ENSECAG00000000937	OR52A5
ENSECAG00000000938	UTP20
ENSECAG00000000939	FAH
ENSECAG00000000940	CRY2
ENSECAG00000000941	FAM187A
ENSECAG00000000942	ACKR3
ENSECAG00000000943	PTGES
ENSECAG00000000944	MAGEA10
ENSECAG00000000945	OR5D18
ENSECAG00000000946	CMKLR1
ENSECAG00000000949	GPR84
ENSECAG00000000950	AP002962.1
ENSECAG00000000952	LDLRAD2
ENSECAG00000000953	MMP2
ENSECAG00000000954	NPR1
ENSECAG00000000955	OR52A1
ENSECAG00000000957	OR51D1
ENSECAG00000000958	OR8G1
ENSECAG00000000960	PNMA5
ENSECAG00000000961	OR6B2
ENSECAG00000000962	TMEM145
ENSECAG00000000963	CMC2
ENSECAG00000000964	CAMK2N1
ENSECAG00000000965	ATG2B
ENSECAG00000000966	RP11-723O4.6
ENSECAG00000000967	LTA
ENSECAG00000000968	IFITM3
ENSECAG00000000969	VN1R4
ENSECAG00000000970	OR5P3
ENSECAG00000000971	SUCO
ENSECAG00000000973	FSTL5
ENSECAG00000000974	ADAR
ENSECAG00000000975	TIGD1
ENSECAG00000000976	IFNW1
ENSECAG00000000977	S100Z
ENSECAG00000000980	OR51E1
ENSECAG00000000984	THEMIS
ENSECAG00000000985	TRBV12-4
ENSECAG00000000987	PSMB3
ENSECAG00000000988	GJA10
ENSECAG00000000989	OR6T1
ENSECAG00000000991	PNMA3
ENSECAG00000000993	TAAR1
ENSECAG00000000996	TIGD1
ENSECAG00000000998	OR1E1
ENSECAG00000000999	RPL35
ENSECAG00000001002	NEUROD4
ENSECAG00000001003	POLR3D
ENSECAG00000001004	TMEM74B
ENSECAG00000001005	MEIOB
ENSECAG00000001007	OR6B3
ENSECAG00000001009	ENST00000333973
ENSECAG00000001010	SPINK2
ENSECAG00000001011	VN1R4
ENSECAG00000001012	LINC00116
ENSECAG00000001013	PIGB
ENSECAG00000001014	ABCC3
ENSECAG00000001015	OR10C1
ENSECAG00000001018	SOX12
ENSECAG00000001019	OR8B3
ENSECAG00000001020	OR2AG2
ENSECAG00000001021	ARL4D
ENSECAG00000001022	UCN2
ENSECAG00000001023	IGKV4-1
ENSECAG00000001024	OR52A5
ENSECAG00000001025	ZSCAN20
ENSECAG00000001027	ENST00000623829
ENSECAG00000001031	HPDL
ENSECAG00000001032	AP002962.1
ENSECAG00000001033	SCGN
ENSECAG00000001034	UNC45B
ENSECAG00000001035	ZCCHC3
ENSECAG00000001037	HSPA1B
ENSECAG00000001039	KCTD18
ENSECAG00000001041	CENPN
ENSECAG00000001043	NUDT21
ENSECAG00000001045	VN1R4
ENSECAG00000001046	OR2G2
ENSECAG00000001048	EEF1A1
ENSECAG00000001049	TCTEX1D4
ENSECAG00000001050	MUM1L1
ENSECAG00000001051	OR9K2
ENSECAG00000001054	OR1L6
ENSECAG00000001057	C12orf65
ENSECAG00000001058	SLC7A7
ENSECAG00000001059	OR52A1
ENSECAG00000001063	DEFB118
ENSECAG00000001064	RET
ENSECAG00000001065	SPIN1
ENSECAG00000001066	CHST12
ENSECAG00000001068	TMEM125
ENSECAG00000001069	CCRL2
ENSECAG00000001070	OR2T4
ENSECAG00000001072	TYMP
ENSECAG00000001073	F11
ENSECAG00000001074	PALMD
ENSECAG00000001075	TMEM179B
ENSECAG00000001076	RP11-385D13.1
ENSECAG00000001077	VN1R4
ENSECAG00000001079	KCNK13
ENSECAG00000001080	PLPP5
ENSECAG00000001081	KRT34
ENSECAG00000001082	OR52Z1
ENSECAG00000001083	TIGD1
ENSECAG00000001084	REV3L
ENSECAG00000001085	VN1R4
ENSECAG00000001086	TMEM187
ENSECAG00000001087	UCN
ENSECAG00000001088	LARP1B
ENSECAG00000001090	CCR10
ENSECAG00000001091	REV3L
ENSECAG00000001094	OR6B1
ENSECAG00000001096	IGKV2-28
ENSECAG00000001097	OR8G1
ENSECAG00000001098	PPFIA3
ENSECAG00000001100	WDSUB1
ENSECAG00000001101	SESN1
ENSECAG00000001106	MAGEB18
ENSECAG00000001109	RPL21
ENSECAG00000001110	DNAJA1
ENSECAG00000001111	NPB
ENSECAG00000001113	OR51G2
ENSECAG00000001114	CCR2
ENSECAG00000001116	TIGD1
ENSECAG00000001117	HS6ST1
ENSECAG00000001118	OR2C3
ENSECAG00000001119	ZNF318
ENSECAG00000001121	AP002962.1
ENSECAG00000001126	OR2D3
ENSECAG00000001128	ASTN2
ENSECAG00000001129	HMOX1
ENSECAG00000001130	FOCAD
ENSECAG00000001131	GPR17
ENSECAG00000001133	OR5P2
ENSECAG00000001136	IFNA5
ENSECAG00000001137	ACTRT2
ENSECAG00000001138	MECOM
ENSECAG00000001139	OR6N2
ENSECAG00000001140	ANAPC11
ENSECAG00000001141	NAIP
ENSECAG00000001142	PCSK2
ENSECAG00000001145	ZNF665
ENSECAG00000001146	OR11G2
ENSECAG00000001147	OR2G3
