ENSECAG00000000002	ENST00000359429
ENSECAG00000000194	ENST00000337963
ENSECAG00000000195	ENST00000513437
ENSECAG00000000196	ENST00000219271
ENSECAG00000000197	ENST00000296795
ENSECAG00000000199	ENST00000350696
ENSECAG00000000201	ENST00000511166
ENSECAG00000000201	ENST00000511166
ENSECAG00000000202	ENST00000307161
ENSECAG00000000203	ENST00000262209
ENSECAG00000000204	ENST00000620767
ENSECAG00000000205	ENST00000307588
ENSECAG00000000206	ENST00000380175
ENSECAG00000000207	ENST00000366684
ENSECAG00000000210	ENST00000378653
ENSECAG00000000212	ENST00000392250
ENSECAG00000000214	ENST00000264260
ENSECAG00000000216	ENST00000376327
ENSECAG00000000217	ENST00000338779
ENSECAG00000000218	ENST00000263726
ENSECAG00000000220	ENST00000493263
ENSECAG00000000221	ENST00000434744
ENSECAG00000000223	ENST00000621846
ENSECAG00000000224	ENST00000431802
ENSECAG00000000225	ENST00000409235
ENSECAG00000000226	ENST00000383581
ENSECAG00000000227	ENST00000376619
ENSECAG00000000227	ENST00000376619
ENSECAG00000000229	ENST00000351004
ENSECAG00000000231	ENST00000539935
ENSECAG00000000232	ENST00000298125
ENSECAG00000000233	ENST00000398405
ENSECAG00000000234	ENST00000617456
ENSECAG00000000235	ENST00000305949
ENSECAG00000008138	ENST00000248668
ENSECAG00000008138	ENST00000248668
ENSECAG00000014275	ENST00000222122
ENSECAG00000014275	ENST00000222122
ENSECAG00000024085	ENST00000369037
ENSECAG00000024085	ENST00000369037
ENSECAG00000022502	ENST00000435970
ENSECAG00000022502	ENST00000435970
ENSECAG00000022502	ENST00000435970
ENSECAG00000022502	ENST00000358835
ENSECAG00000000237	ENST00000337343
ENSECAG00000000238	ENST00000318407
ENSECAG00000000239	ENST00000297267
ENSECAG00000000239	ENST00000329629
ENSECAG00000000240	ENST00000264381
ENSECAG00000000241	ENST00000635558
ENSECAG00000000242	ENST00000439647
ENSECAG00000000243	ENST00000257627
ENSECAG00000000244	ENST00000262383
ENSECAG00000026944	ENST00000522563
ENSECAG00000000246	ENST00000394456
ENSECAG00000000250	ENST00000291495
ENSECAG00000000251	ENST00000623963
ENSECAG00000000252	ENST00000407315
ENSECAG00000000253	ENST00000376701
ENSECAG00000000257	ENST00000356713
ENSECAG00000000258	ENST00000367568
ENSECAG00000000259	ENST00000373789
ENSECAG00000000259	ENST00000373789
ENSECAG00000000260	ENST00000524300
ENSECAG00000000261	ENST00000380843
ENSECAG00000000262	ENST00000285979
ENSECAG00000000262	ENST00000285979
ENSECAG00000000263	ENST00000247138
ENSECAG00000000264	ENST00000377028
ENSECAG00000000265	ENST00000307892
ENSECAG00000000266	ENST00000628983
ENSECAG00000000267	ENST00000266088
ENSECAG00000000268	ENST00000480798
ENSECAG00000000269	ENST00000381854
ENSECAG00000000270	ENST00000502583
ENSECAG00000000270	ENST00000502583
ENSECAG00000000271	ENST00000265381
ENSECAG00000000272	ENST00000358241
ENSECAG00000000273	ENST00000334220
ENSECAG00000026935	ENST00000297423
ENSECAG00000026869	ENST00000343709
ENSECAG00000026844	ENST00000309822
ENSECAG00000000275	ENST00000357816
ENSECAG00000000276	ENST00000553645
ENSECAG00000000277	ENST00000613087
ENSECAG00000000278	ENST00000324852
ENSECAG00000000279	ENST00000274680
ENSECAG00000000280	ENST00000258168
ENSECAG00000000281	ENST00000303383
ENSECAG00000000282	ENST00000356924
ENSECAG00000000283	ENST00000367412
ENSECAG00000000284	ENST00000215794
ENSECAG00000000285	ENST00000553851
ENSECAG00000000286	ENST00000263208
ENSECAG00000000287	ENST00000329236
ENSECAG00000000287	ENST00000345781
ENSECAG00000000288	ENST00000393414
ENSECAG00000000289	ENST00000375500
ENSECAG00000000291	ENST00000564138
ENSECAG00000000292	ENST00000423059
ENSECAG00000000294	ENST00000314425
ENSECAG00000000294	ENST00000314425
ENSECAG00000000295	ENST00000393241
ENSECAG00000000296	ENST00000361069
ENSECAG00000000297	ENST00000354932
ENSECAG00000000298	ENST00000602925
ENSECAG00000000298	ENST00000602925
ENSECAG00000000299	ENST00000618098
ENSECAG00000000300	ENST00000260746
ENSECAG00000000301	ENST00000375200
ENSECAG00000000302	ENST00000216259
ENSECAG00000000303	ENST00000426263
ENSECAG00000000305	ENST00000623963
ENSECAG00000000306	ENST00000481034
ENSECAG00000000307	ENST00000399921
ENSECAG00000000308	ENST00000357387
ENSECAG00000000309	ENST00000535880
ENSECAG00000000310	ENST00000402815
ENSECAG00000000311	ENST00000330125
ENSECAG00000000313	ENST00000380118
ENSECAG00000000314	ENST00000228284
ENSECAG00000000315	ENST00000437977
ENSECAG00000000316	ENST00000229708
ENSECAG00000000317	ENST00000322893
ENSECAG00000000319	ENST00000267884
ENSECAG00000000320	ENST00000382020
ENSECAG00000000321	ENST00000623963
ENSECAG00000000322	ENST00000454545
ENSECAG00000000323	ENST00000269081
ENSECAG00000000324	ENST00000376447
ENSECAG00000000325	ENST00000549224
ENSECAG00000000326	ENST00000383847
ENSECAG00000000327	ENST00000306368
ENSECAG00000000328	ENST00000504564
ENSECAG00000000329	ENST00000378119
ENSECAG00000000330	ENST00000381821
ENSECAG00000000331	ENST00000449850
ENSECAG00000000332	ENST00000266126
ENSECAG00000000336	ENST00000222271
ENSECAG00000000337	ENST00000313581
ENSECAG00000000339	ENST00000245907
ENSECAG00000000339	ENST00000245907
ENSECAG00000000339	ENST00000245907
ENSECAG00000000340	ENST00000524871
ENSECAG00000000341	ENST00000259818
ENSECAG00000000343	ENST00000495827
ENSECAG00000000344	ENST00000222381
ENSECAG00000000345	ENST00000337401
ENSECAG00000000346	ENST00000356792
ENSECAG00000000347	ENST00000619315
ENSECAG00000000348	ENST00000263791
ENSECAG00000000349	ENST00000367474
ENSECAG00000000350	ENST00000300452
ENSECAG00000000351	ENST00000462683
ENSECAG00000000352	ENST00000581977
ENSECAG00000000353	ENST00000370552
ENSECAG00000000354	ENST00000274289
ENSECAG00000000354	ENST00000274289
ENSECAG00000000356	ENST00000261681
ENSECAG00000000357	ENST00000409592
ENSECAG00000000357	ENST00000258390
ENSECAG00000000358	ENST00000306061
ENSECAG00000000359	ENST00000262891
ENSECAG00000000359	ENST00000300843
ENSECAG00000000360	ENST00000367460
ENSECAG00000000361	ENST00000299192
ENSECAG00000000362	ENST00000367481
ENSECAG00000000363	ENST00000306061
ENSECAG00000000364	ENST00000373669
ENSECAG00000000365	ENST00000406854
ENSECAG00000000365	ENST00000406854
ENSECAG00000000366	ENST00000327949
ENSECAG00000000367	ENST00000055077
ENSECAG00000000368	ENST00000306061
ENSECAG00000000369	ENST00000559450
ENSECAG00000000370	ENST00000270625
ENSECAG00000000371	ENST00000347055
ENSECAG00000000372	ENST00000261636
ENSECAG00000000373	ENST00000264094
ENSECAG00000000374	ENST00000344636
ENSECAG00000000375	ENST00000401959
ENSECAG00000000376	ENST00000409796
ENSECAG00000000377	ENST00000336767
ENSECAG00000000378	ENST00000419291
ENSECAG00000000381	ENST00000251076
ENSECAG00000000382	ENST00000228438
ENSECAG00000000383	ENST00000361337
ENSECAG00000000384	ENST00000261735
ENSECAG00000000385	ENST00000367868
ENSECAG00000000386	ENST00000443597
ENSECAG00000000387	ENST00000248598
ENSECAG00000000390	ENST00000417550
ENSECAG00000000391	ENST00000547315
ENSECAG00000000392	ENST00000423656
ENSECAG00000000393	ENST00000613394
ENSECAG00000000393	ENST00000613394
ENSECAG00000000393	ENST00000613394
ENSECAG00000000395	ENST00000344041
ENSECAG00000000396	ENST00000418105
ENSECAG00000000397	ENST00000264932
ENSECAG00000000398	ENST00000224949
ENSECAG00000000399	ENST00000419735
ENSECAG00000000400	ENST00000356289
ENSECAG00000000401	ENST00000623963
ENSECAG00000000402	ENST00000233627
ENSECAG00000000403	ENST00000623963
ENSECAG00000000403	ENST00000623963
ENSECAG00000000404	ENST00000538336
ENSECAG00000000406	ENST00000374023
ENSECAG00000000407	ENST00000381801
ENSECAG00000000408	ENST00000619315
ENSECAG00000000409	ENST00000355076
ENSECAG00000000410	ENST00000266014
ENSECAG00000000411	ENST00000412438
ENSECAG00000000412	ENST00000490331
ENSECAG00000000413	ENST00000312263
ENSECAG00000000414	ENST00000314251
ENSECAG00000000416	ENST00000452443
ENSECAG00000000417	ENST00000392982
ENSECAG00000000418	ENST00000542499
ENSECAG00000000419	ENST00000611116
ENSECAG00000000420	ENST00000538234
ENSECAG00000000420	ENST00000538234
ENSECAG00000000421	ENST00000306954
ENSECAG00000000422	ENST00000390440
ENSECAG00000000423	ENST00000399975
ENSECAG00000000424	ENST00000432641
ENSECAG00000000426	ENST00000367710
ENSECAG00000000428	ENST00000371873
ENSECAG00000000429	ENST00000588649
ENSECAG00000000430	ENST00000427411
ENSECAG00000000431	ENST00000271751
ENSECAG00000000432	ENST00000279804
ENSECAG00000000434	ENST00000402399
ENSECAG00000000435	ENST00000263816
ENSECAG00000000435	ENST00000263816
ENSECAG00000000436	ENST00000371806
ENSECAG00000000437	ENST00000379484
ENSECAG00000000438	ENST00000022615
ENSECAG00000000439	ENST00000302945
ENSECAG00000000440	ENST00000377988
ENSECAG00000000442	ENST00000372720
ENSECAG00000000444	ENST00000390441
ENSECAG00000000445	ENST00000220940
ENSECAG00000000446	ENST00000463306
ENSECAG00000000448	ENST00000623963
ENSECAG00000000449	ENST00000368009
ENSECAG00000000450	ENST00000392129
ENSECAG00000000451	ENST00000222718
ENSECAG00000000452	ENST00000466293
ENSECAG00000000453	ENST00000321027
ENSECAG00000000454	ENST00000390629
ENSECAG00000000455	ENST00000409690
ENSECAG00000000458	ENST00000228918
ENSECAG00000000460	ENST00000413034
ENSECAG00000000461	ENST00000222726
ENSECAG00000000462	ENST00000453089
ENSECAG00000000463	ENST00000372546
ENSECAG00000000464	ENST00000607367
ENSECAG00000000464	ENST00000607367
ENSECAG00000000465	ENST00000318974
ENSECAG00000000466	ENST00000262809
ENSECAG00000000467	ENST00000290846
ENSECAG00000000468	ENST00000259806
ENSECAG00000000469	ENST00000277632
ENSECAG00000000470	ENST00000328557
ENSECAG00000000471	ENST00000361983
ENSECAG00000000473	ENST00000634773
ENSECAG00000000474	ENST00000037243
ENSECAG00000000475	ENST00000420323
ENSECAG00000000477	ENST00000375213
ENSECAG00000000478	ENST00000454127
ENSECAG00000000479	ENST00000331768
ENSECAG00000000480	ENST00000284322
ENSECAG00000000480	ENST00000284322
ENSECAG00000000481	ENST00000500968
ENSECAG00000000481	ENST00000500968
ENSECAG00000000482	ENST00000215115
ENSECAG00000000483	ENST00000618003
ENSECAG00000000483	ENST00000618003
ENSECAG00000000484	ENST00000262735
ENSECAG00000000485	ENST00000611957
ENSECAG00000000485	ENST00000611957
ENSECAG00000000485	ENST00000609374
ENSECAG00000000486	ENST00000623963
ENSECAG00000000487	ENST00000594047
ENSECAG00000000488	ENST00000310521
ENSECAG00000000489	ENST00000313601
ENSECAG00000000492	ENST00000619481
ENSECAG00000000493	ENST00000355574
ENSECAG00000000493	ENST00000355574
ENSECAG00000000494	ENST00000242728
ENSECAG00000000495	ENST00000519560
ENSECAG00000000496	ENST00000542965
ENSECAG00000000497	ENST00000295899
ENSECAG00000000498	ENST00000310389
ENSECAG00000000500	ENST00000361157
ENSECAG00000000501	ENST00000244565
ENSECAG00000000502	ENST00000320394
ENSECAG00000000505	ENST00000447370
ENSECAG00000000506	ENST00000423014
ENSECAG00000000507	ENST00000265351
ENSECAG00000000508	ENST00000425570
ENSECAG00000000509	ENST00000253801
ENSECAG00000000511	ENST00000341223
ENSECAG00000000512	ENST00000395323
ENSECAG00000000513	ENST00000355937
ENSECAG00000000514	ENST00000326621
ENSECAG00000000515	ENST00000538474
ENSECAG00000000516	ENST00000243776
ENSECAG00000000517	ENST00000258080
ENSECAG00000000518	ENST00000350026
ENSECAG00000000519	ENST00000612677
ENSECAG00000000520	ENST00000409228
ENSECAG00000000521	ENST00000289429
ENSECAG00000000522	ENST00000373229
ENSECAG00000000525	ENST00000377369
ENSECAG00000000526	ENST00000268482
ENSECAG00000000527	ENST00000262418
ENSECAG00000000529	ENST00000324096
ENSECAG00000000530	ENST00000622150
ENSECAG00000000530	ENST00000273854
ENSECAG00000000531	ENST00000306329
ENSECAG00000000532	ENST00000201647
ENSECAG00000000535	ENST00000349552
ENSECAG00000000536	ENST00000369075
ENSECAG00000000537	ENST00000379416
ENSECAG00000000538	ENST00000409343
ENSECAG00000000539	ENST00000620157
ENSECAG00000000540	ENST00000383794
ENSECAG00000000541	ENST00000372192
ENSECAG00000000543	ENST00000409484
ENSECAG00000000544	ENST00000260983
ENSECAG00000000545	ENST00000322623
ENSECAG00000000546	ENST00000253079
ENSECAG00000000547	ENST00000217315
ENSECAG00000000548	ENST00000615655
ENSECAG00000000550	ENST00000535286
ENSECAG00000000551	ENST00000358127
ENSECAG00000000552	ENST00000366481
ENSECAG00000000554	ENST00000327442
ENSECAG00000000555	ENST00000296302
ENSECAG00000000555	ENST00000409057
ENSECAG00000000556	ENST00000272645
ENSECAG00000000557	ENST00000298317
ENSECAG00000000558	ENST00000302418
ENSECAG00000000559	ENST00000347898
ENSECAG00000000560	ENST00000529948
ENSECAG00000000562	ENST00000405930
ENSECAG00000000564	ENST00000252322
ENSECAG00000000565	ENST00000038176
ENSECAG00000000566	ENST00000331426
ENSECAG00000000567	ENST00000337435
ENSECAG00000000568	ENST00000617782
ENSECAG00000000571	ENST00000339336
ENSECAG00000000572	ENST00000373060
ENSECAG00000000574	ENST00000311946
ENSECAG00000000575	ENST00000222728
ENSECAG00000000576	ENST00000224862
ENSECAG00000000577	ENST00000250498
ENSECAG00000000578	ENST00000453196
ENSECAG00000000579	ENST00000268070
ENSECAG00000000579	ENST00000268070
ENSECAG00000000580	ENST00000378103
ENSECAG00000000583	ENST00000348904
ENSECAG00000000584	ENST00000234301
ENSECAG00000000585	ENST00000619481
ENSECAG00000000586	ENST00000301332
ENSECAG00000000586	ENST00000301332
ENSECAG00000000587	ENST00000538575
ENSECAG00000000588	ENST00000368913
ENSECAG00000000588	ENST00000341697
ENSECAG00000000589	ENST00000369406
ENSECAG00000000590	ENST00000619548
ENSECAG00000000591	ENST00000392556
ENSECAG00000000592	ENST00000011691
ENSECAG00000000593	ENST00000348225
ENSECAG00000000594	ENST00000235835
ENSECAG00000000595	ENST00000264451
ENSECAG00000000596	ENST00000378826
ENSECAG00000000596	ENST00000259711
ENSECAG00000000597	ENST00000401548
ENSECAG00000000597	ENST00000401548
ENSECAG00000000598	ENST00000314391
ENSECAG00000000599	ENST00000361762
ENSECAG00000000602	ENST00000390435
ENSECAG00000000603	ENST00000219240
ENSECAG00000000604	ENST00000310194
ENSECAG00000000605	ENST00000417572
ENSECAG00000000606	ENST00000398997
ENSECAG00000000607	ENST00000422053
ENSECAG00000000608	ENST00000298892
ENSECAG00000000608	ENST00000298892
ENSECAG00000000609	ENST00000613397
ENSECAG00000000612	ENST00000612885
ENSECAG00000000614	ENST00000368838
ENSECAG00000000616	ENST00000281437
ENSECAG00000000619	ENST00000370766
ENSECAG00000000620	ENST00000326092
ENSECAG00000000621	ENST00000528838
ENSECAG00000000621	ENST00000528838
ENSECAG00000000622	ENST00000360066
ENSECAG00000000623	ENST00000588136
ENSECAG00000000624	ENST00000309660
ENSECAG00000000625	ENST00000317135
ENSECAG00000000626	ENST00000342085
ENSECAG00000000627	ENST00000539469
ENSECAG00000000628	ENST00000634093
ENSECAG00000000631	ENST00000376065
ENSECAG00000000631	ENST00000376052
ENSECAG00000000632	ENST00000292246
ENSECAG00000000633	ENST00000395405
ENSECAG00000000634	ENST00000373894
ENSECAG00000000636	ENST00000397732
ENSECAG00000000637	ENST00000394303
ENSECAG00000000638	ENST00000264868
ENSECAG00000000639	ENST00000538966
ENSECAG00000000639	ENST00000361971
ENSECAG00000000640	ENST00000477665
ENSECAG00000000641	ENST00000444202
ENSECAG00000000642	ENST00000357214
ENSECAG00000000643	ENST00000253577
ENSECAG00000000644	ENST00000316077
ENSECAG00000000645	ENST00000333003
ENSECAG00000000647	ENST00000634605
ENSECAG00000000648	ENST00000326877
ENSECAG00000000648	ENST00000382226
ENSECAG00000000650	ENST00000258317
ENSECAG00000000651	ENST00000359874
ENSECAG00000000651	ENST00000256084
ENSECAG00000000651	ENST00000256084
ENSECAG00000000653	ENST00000408957
ENSECAG00000000655	ENST00000393132
ENSECAG00000000657	ENST00000371330
ENSECAG00000000658	ENST00000258733
ENSECAG00000000659	ENST00000261751
ENSECAG00000000660	ENST00000353065
ENSECAG00000000661	ENST00000326245
ENSECAG00000000662	ENST00000274901
ENSECAG00000000665	ENST00000221543
ENSECAG00000000666	ENST00000263468
ENSECAG00000026943	ENST00000220669
ENSECAG00000026976	ENST00000358757
ENSECAG00000000669	ENST00000517669
ENSECAG00000000671	ENST00000368613
ENSECAG00000000673	ENST00000572681
ENSECAG00000000674	ENST00000359595
ENSECAG00000000675	ENST00000515098
ENSECAG00000000678	ENST00000440226
ENSECAG00000000679	ENST00000381033
ENSECAG00000000680	ENST00000623481
ENSECAG00000000681	ENST00000368817
ENSECAG00000000682	ENST00000259037
ENSECAG00000000683	ENST00000381607
ENSECAG00000000684	ENST00000441782
ENSECAG00000000685	ENST00000631573
ENSECAG00000000686	ENST00000294507
ENSECAG00000000689	ENST00000356692
ENSECAG00000000690	ENST00000231790
ENSECAG00000000690	ENST00000231790
ENSECAG00000000691	ENST00000322313
ENSECAG00000000692	ENST00000262776
ENSECAG00000000693	ENST00000521495
ENSECAG00000000696	ENST00000372163
ENSECAG00000000696	ENST00000372163
ENSECAG00000000696	ENST00000372163
ENSECAG00000000697	ENST00000263368
ENSECAG00000000698	ENST00000539526
ENSECAG00000000699	ENST00000287766
ENSECAG00000000700	ENST00000366923
ENSECAG00000000701	ENST00000354785
ENSECAG00000000701	ENST00000359671
ENSECAG00000000701	ENST00000356005
ENSECAG00000000702	ENST00000370350
ENSECAG00000000703	ENST00000280701
ENSECAG00000000705	ENST00000311269
ENSECAG00000000705	ENST00000311269
ENSECAG00000000706	ENST00000422354
ENSECAG00000000707	ENST00000616154
ENSECAG00000000708	ENST00000336133
ENSECAG00000000709	ENST00000381093
ENSECAG00000000710	ENST00000451188
ENSECAG00000000711	ENST00000240316
ENSECAG00000000712	ENST00000557342
ENSECAG00000000713	ENST00000303145
ENSECAG00000000713	ENST00000303145
ENSECAG00000000714	ENST00000368596
ENSECAG00000000715	ENST00000528954
ENSECAG00000000716	ENST00000594216
ENSECAG00000000718	ENST00000617382
ENSECAG00000000719	ENST00000377443
ENSECAG00000000719	ENST00000377436
ENSECAG00000000720	ENST00000329722
ENSECAG00000000721	ENST00000323776
ENSECAG00000000722	ENST00000378226
ENSECAG00000000723	ENST00000545712
ENSECAG00000000725	ENST00000397962
ENSECAG00000000726	ENST00000303450
ENSECAG00000000727	ENST00000307358
ENSECAG00000000728	ENST00000400334
ENSECAG00000000730	ENST00000368705
ENSECAG00000000731	ENST00000369210
ENSECAG00000000732	ENST00000547271
ENSECAG00000000733	ENST00000592875
ENSECAG00000000734	ENST00000374116
ENSECAG00000000735	ENST00000371945
ENSECAG00000000737	ENST00000392711
ENSECAG00000000738	ENST00000381070
ENSECAG00000000739	ENST00000538312
ENSECAG00000000740	ENST00000329722
ENSECAG00000000741	ENST00000632248
ENSECAG00000000743	ENST00000271620
ENSECAG00000000744	ENST00000375066
ENSECAG00000000745	ENST00000622181
ENSECAG00000000746	ENST00000405914
ENSECAG00000000748	ENST00000327047
ENSECAG00000000749	ENST00000417551
ENSECAG00000000750	ENST00000299855
ENSECAG00000000751	ENST00000357895
ENSECAG00000000752	ENST00000531794
ENSECAG00000000753	ENST00000039989
ENSECAG00000000755	ENST00000382298
ENSECAG00000000757	ENST00000310806
ENSECAG00000000758	ENST00000398776
ENSECAG00000000758	ENST00000398776
ENSECAG00000000759	ENST00000357384
ENSECAG00000000761	ENST00000604395
ENSECAG00000000762	ENST00000480945
ENSECAG00000000762	ENST00000480945
ENSECAG00000000763	ENST00000514182
ENSECAG00000000764	ENST00000294664
ENSECAG00000000764	ENST00000294664
ENSECAG00000000765	ENST00000623963
ENSECAG00000000766	ENST00000623963
ENSECAG00000000767	ENST00000295736
ENSECAG00000000767	ENST00000295736
ENSECAG00000000767	ENST00000428386
ENSECAG00000000768	ENST00000244289
ENSECAG00000000769	ENST00000378186
ENSECAG00000000770	ENST00000314134
ENSECAG00000000771	ENST00000378295
ENSECAG00000000773	ENST00000336431
ENSECAG00000000774	ENST00000544088
ENSECAG00000000775	ENST00000390655
ENSECAG00000000777	ENST00000623963
ENSECAG00000000778	ENST00000253354
ENSECAG00000000779	ENST00000269491
ENSECAG00000000780	ENST00000259154
ENSECAG00000000781	ENST00000394458
ENSECAG00000000782	ENST00000360787
ENSECAG00000000783	ENST00000443333
ENSECAG00000000784	ENST00000433389
ENSECAG00000000785	ENST00000397732
ENSECAG00000000787	ENST00000274181
ENSECAG00000000788	ENST00000300226
ENSECAG00000000789	ENST00000366472
ENSECAG00000000790	ENST00000601181
ENSECAG00000000791	ENST00000358242
ENSECAG00000000792	ENST00000293872
ENSECAG00000000794	ENST00000514111
ENSECAG00000000795	ENST00000396623
ENSECAG00000000796	ENST00000370277
ENSECAG00000000797	ENST00000406622
ENSECAG00000000798	ENST00000321063
ENSECAG00000000799	ENST00000527223
ENSECAG00000000800	ENST00000370550
ENSECAG00000000803	ENST00000315519
ENSECAG00000000805	ENST00000285311
ENSECAG00000000806	ENST00000397906
ENSECAG00000000808	ENST00000282670
ENSECAG00000000809	ENST00000306125
ENSECAG00000000811	ENST00000533379
ENSECAG00000000813	ENST00000413689
ENSECAG00000000813	ENST00000451551
ENSECAG00000000815	ENST00000335678
ENSECAG00000000816	ENST00000396554
ENSECAG00000000817	ENST00000380542
ENSECAG00000000820	ENST00000315519
ENSECAG00000005026	ENST00000612797
ENSECAG00000005026	ENST00000612797
ENSECAG00000000822	ENST00000311352
ENSECAG00000000823	ENST00000371120
