ENSECAT00000000009	ENST00000359429
ENSECAT00000000168	ENST00000219334
ENSECAT00000000159	ENST00000391877
ENSECAT00000000165	ENST00000451315
ENSECAT00000000287	ENST00000460469
ENSECAT00000000162	ENST00000324444
ENSECAT00000000473	ENST00000371320
ENSECAT00000000178	ENST00000337963
ENSECAT00000000272	ENST00000513437
ENSECAT00000000336	ENST00000219271
ENSECAT00000000204	ENST00000296795
ENSECAT00000000411	ENST00000350696
ENSECAT00000000201	ENST00000511166
ENSECAT00000000203	ENST00000511166
ENSECAT00000000169	ENST00000307161
ENSECAT00000000271	ENST00000262209
ENSECAT00000000214	ENST00000620767
ENSECAT00000000194	ENST00000307588
ENSECAT00000000167	ENST00000380175
ENSECAT00000000176	ENST00000366684
ENSECAT00000000173	ENST00000378653
ENSECAT00000000425	ENST00000392250
ENSECAT00000000219	ENST00000264260
ENSECAT00000000206	ENST00000376327
ENSECAT00000000215	ENST00000338779
ENSECAT00000000248	ENST00000263726
ENSECAT00000000202	ENST00000493263
ENSECAT00000000391	ENST00000434744
ENSECAT00000000533	ENST00000621846
ENSECAT00000000209	ENST00000431802
ENSECAT00000000200	ENST00000409235
ENSECAT00000000210	ENST00000383581
ENSECAT00000001478	ENST00000376619
ENSECAT00000001829	ENST00000376619
ENSECAT00000000229	ENST00000351004
ENSECAT00000000423	ENST00000539935
ENSECAT00000000267	ENST00000298125
ENSECAT00000000239	ENST00000398405
ENSECAT00000000189	ENST00000617456
ENSECAT00000000363	ENST00000305949
ENSECAT00000028829	ENST00000248668
ENSECAT00000008238	ENST00000248668
ENSECAT00000014919	ENST00000222122
ENSECAT00000029049	ENST00000222122
ENSECAT00000029127	ENST00000369037
ENSECAT00000025835	ENST00000369037
ENSECAT00000024071	ENST00000435970
ENSECAT00000028978	ENST00000435970
ENSECAT00000002920	ENST00000435970
ENSECAT00000002987	ENST00000358835
ENSECAT00000000701	ENST00000337343
ENSECAT00000000184	ENST00000318407
ENSECAT00000000245	ENST00000297267
ENSECAT00000000246	ENST00000329629
ENSECAT00000000224	ENST00000264381
ENSECAT00000000186	ENST00000635558
ENSECAT00000000379	ENST00000439647
ENSECAT00000000233	ENST00000257627
ENSECAT00000000207	ENST00000262383
ENSECAT00000028910	ENST00000522563
ENSECAT00000000324	ENST00000394456
ENSECAT00000000208	ENST00000291495
ENSECAT00000000205	ENST00000623963
ENSECAT00000000218	ENST00000407315
ENSECAT00000000192	ENST00000376701
ENSECAT00000000251	ENST00000356713
ENSECAT00000000196	ENST00000367568
ENSECAT00000000314	ENST00000373789
ENSECAT00000000325	ENST00000373789
ENSECAT00000000223	ENST00000524300
ENSECAT00000000496	ENST00000380843
ENSECAT00000000289	ENST00000285979
ENSECAT00000000309	ENST00000285979
ENSECAT00000000234	ENST00000247138
ENSECAT00000000523	ENST00000377028
ENSECAT00000000227	ENST00000307892
ENSECAT00000000213	ENST00000628983
ENSECAT00000002397	ENST00000266088
ENSECAT00000000211	ENST00000480798
ENSECAT00000000286	ENST00000381854
ENSECAT00000000275	ENST00000502583
ENSECAT00000000291	ENST00000502583
ENSECAT00000000320	ENST00000265381
ENSECAT00000000216	ENST00000358241
ENSECAT00000000422	ENST00000334220
ENSECAT00000029095	ENST00000297423
ENSECAT00000029058	ENST00000343709
ENSECAT00000029019	ENST00000309822
ENSECAT00000000212	ENST00000357816
ENSECAT00000000220	ENST00000553645
ENSECAT00000000232	ENST00000613087
ENSECAT00000000241	ENST00000324852
ENSECAT00000000235	ENST00000274680
ENSECAT00000000417	ENST00000258168
ENSECAT00000000344	ENST00000303383
ENSECAT00000000463	ENST00000356924
ENSECAT00000000240	ENST00000367412
ENSECAT00000000410	ENST00000215794
ENSECAT00000000266	ENST00000553851
ENSECAT00000000350	ENST00000263208
ENSECAT00000003105	ENST00000329236
ENSECAT00000003287	ENST00000345781
ENSECAT00000000377	ENST00000393414
ENSECAT00000000273	ENST00000375500
ENSECAT00000003199	ENST00000564138
ENSECAT00000000435	ENST00000423059
ENSECAT00000001664	ENST00000314425
ENSECAT00000002236	ENST00000314425
ENSECAT00000000606	ENST00000393241
ENSECAT00000000847	ENST00000361069
ENSECAT00000000284	ENST00000354932
ENSECAT00000000697	ENST00000602925
ENSECAT00000000778	ENST00000602925
ENSECAT00000000256	ENST00000618098
ENSECAT00000000374	ENST00000260746
ENSECAT00000000346	ENST00000375200
ENSECAT00000000378	ENST00000216259
ENSECAT00000000516	ENST00000426263
ENSECAT00000000228	ENST00000623963
ENSECAT00000000264	ENST00000481034
ENSECAT00000000257	ENST00000399921
ENSECAT00000000749	ENST00000357387
ENSECAT00000000237	ENST00000535880
ENSECAT00000000327	ENST00000402815
ENSECAT00000000734	ENST00000330125
ENSECAT00000000590	ENST00000380118
ENSECAT00000000594	ENST00000228284
ENSECAT00000000285	ENST00000437977
ENSECAT00000000242	ENST00000229708
ENSECAT00000000252	ENST00000322893
ENSECAT00000000247	ENST00000267884
ENSECAT00000000303	ENST00000382020
ENSECAT00000000302	ENST00000623963
ENSECAT00000000244	ENST00000454545
ENSECAT00000000288	ENST00000269081
ENSECAT00000000279	ENST00000376447
ENSECAT00000003319	ENST00000549224
ENSECAT00000000261	ENST00000383847
ENSECAT00000000311	ENST00000306368
ENSECAT00000000250	ENST00000504564
ENSECAT00000000333	ENST00000378119
ENSECAT00000000258	ENST00000381821
ENSECAT00000000428	ENST00000449850
ENSECAT00000000255	ENST00000266126
ENSECAT00000002550	ENST00000222271
ENSECAT00000000259	ENST00000313581
ENSECAT00000007684	ENST00000245907
ENSECAT00000007897	ENST00000245907
ENSECAT00000008036	ENST00000245907
ENSECAT00000001108	ENST00000524871
ENSECAT00000000478	ENST00000259818
ENSECAT00000000355	ENST00000495827
ENSECAT00000000304	ENST00000222381
ENSECAT00000000297	ENST00000337401
ENSECAT00000000842	ENST00000356792
ENSECAT00000000508	ENST00000619315
ENSECAT00000001641	ENST00000263791
ENSECAT00000000269	ENST00000367474
ENSECAT00000000373	ENST00000300452
ENSECAT00000000280	ENST00000462683
ENSECAT00000000739	ENST00000581977
ENSECAT00000000292	ENST00000370552
ENSECAT00000000973	ENST00000274289
ENSECAT00000001929	ENST00000274289
ENSECAT00000000586	ENST00000261681
ENSECAT00000002863	ENST00000409592
ENSECAT00000002924	ENST00000258390
ENSECAT00000000277	ENST00000306061
ENSECAT00000000882	ENST00000262891
ENSECAT00000001234	ENST00000300843
ENSECAT00000000283	ENST00000367460
ENSECAT00000000451	ENST00000299192
ENSECAT00000000507	ENST00000367481
ENSECAT00000000282	ENST00000306061
ENSECAT00000000368	ENST00000373669
ENSECAT00000000418	ENST00000406854
ENSECAT00000000426	ENST00000406854
ENSECAT00000000509	ENST00000327949
ENSECAT00000000472	ENST00000055077
ENSECAT00000000321	ENST00000306061
ENSECAT00000000448	ENST00000559450
ENSECAT00000000294	ENST00000270625
ENSECAT00000000299	ENST00000347055
ENSECAT00000000408	ENST00000261636
ENSECAT00000001406	ENST00000264094
ENSECAT00000000365	ENST00000344636
ENSECAT00000000315	ENST00000401959
ENSECAT00000000317	ENST00000409796
ENSECAT00000000484	ENST00000336767
ENSECAT00000000322	ENST00000419291
ENSECAT00000001362	ENST00000251076
ENSECAT00000000312	ENST00000228438
ENSECAT00000001865	ENST00000361337
ENSECAT00000000362	ENST00000261735
ENSECAT00000000307	ENST00000367868
ENSECAT00000000420	ENST00000443597
ENSECAT00000000351	ENST00000248598
ENSECAT00000000343	ENST00000417550
ENSECAT00000000332	ENST00000547315
ENSECAT00000000454	ENST00000423656
ENSECAT00000003219	ENST00000613394
ENSECAT00000003497	ENST00000613394
ENSECAT00000003511	ENST00000613394
ENSECAT00000000572	ENST00000344041
ENSECAT00000000375	ENST00000418105
ENSECAT00000003106	ENST00000264932
ENSECAT00000000566	ENST00000224949
ENSECAT00000000389	ENST00000419735
ENSECAT00000000475	ENST00000356289
ENSECAT00000000313	ENST00000623963
ENSECAT00000000406	ENST00000233627
ENSECAT00000000329	ENST00000623963
ENSECAT00000000371	ENST00000623963
ENSECAT00000000490	ENST00000538336
ENSECAT00000000392	ENST00000374023
ENSECAT00000000862	ENST00000381801
ENSECAT00000000338	ENST00000619315
ENSECAT00000000316	ENST00000355076
ENSECAT00000000752	ENST00000266014
ENSECAT00000000364	ENST00000412438
ENSECAT00000000323	ENST00000490331
ENSECAT00000000972	ENST00000312263
ENSECAT00000000614	ENST00000314251
ENSECAT00000000390	ENST00000452443
ENSECAT00000000432	ENST00000392982
ENSECAT00000000348	ENST00000542499
ENSECAT00000000342	ENST00000611116
ENSECAT00000000470	ENST00000538234
ENSECAT00000000489	ENST00000538234
ENSECAT00000000340	ENST00000306954
ENSECAT00000000330	ENST00000390440
ENSECAT00000001336	ENST00000399975
ENSECAT00000000328	ENST00000432641
ENSECAT00000000341	ENST00000367710
ENSECAT00000000438	ENST00000371873
ENSECAT00000000334	ENST00000588649
ENSECAT00000002458	ENST00000427411
ENSECAT00000000575	ENST00000271751
ENSECAT00000000367	ENST00000279804
ENSECAT00000000337	ENST00000402399
ENSECAT00000005992	ENST00000263816
ENSECAT00000006128	ENST00000263816
ENSECAT00000000831	ENST00000371806
ENSECAT00000000582	ENST00000379484
ENSECAT00000000680	ENST00000022615
ENSECAT00000000370	ENST00000302945
ENSECAT00000000550	ENST00000377988
ENSECAT00000000414	ENST00000372720
ENSECAT00000000349	ENST00000390441
ENSECAT00000000352	ENST00000220940
ENSECAT00000000736	ENST00000463306
ENSECAT00000000354	ENST00000623963
ENSECAT00000000479	ENST00000368009
ENSECAT00000000445	ENST00000392129
ENSECAT00000000353	ENST00000222718
ENSECAT00000000356	ENST00000466293
ENSECAT00000000505	ENST00000321027
ENSECAT00000000372	ENST00000390629
ENSECAT00000000361	ENST00000409690
ENSECAT00000000452	ENST00000228918
ENSECAT00000000398	ENST00000413034
ENSECAT00000000383	ENST00000222726
ENSECAT00000000381	ENST00000453089
ENSECAT00000000524	ENST00000372546
ENSECAT00000000567	ENST00000607367
ENSECAT00000000628	ENST00000607367
ENSECAT00000001427	ENST00000318974
ENSECAT00000000538	ENST00000262809
ENSECAT00000000506	ENST00000290846
ENSECAT00000000366	ENST00000259806
ENSECAT00000001098	ENST00000277632
ENSECAT00000000384	ENST00000328557
ENSECAT00000000433	ENST00000361983
ENSECAT00000000558	ENST00000634773
ENSECAT00000000467	ENST00000037243
ENSECAT00000003975	ENST00000420323
ENSECAT00000000576	ENST00000375213
ENSECAT00000000515	ENST00000454127
ENSECAT00000001245	ENST00000331768
ENSECAT00000002615	ENST00000284322
ENSECAT00000002650	ENST00000284322
ENSECAT00000000385	ENST00000500968
ENSECAT00000000405	ENST00000500968
ENSECAT00000000427	ENST00000215115
ENSECAT00000000382	ENST00000618003
ENSECAT00000000400	ENST00000618003
ENSECAT00000000699	ENST00000262735
ENSECAT00000001570	ENST00000611957
ENSECAT00000001719	ENST00000611957
ENSECAT00000001862	ENST00000609374
ENSECAT00000000437	ENST00000623963
ENSECAT00000000464	ENST00000594047
ENSECAT00000000396	ENST00000310521
ENSECAT00000000674	ENST00000313601
ENSECAT00000000388	ENST00000619481
ENSECAT00000000857	ENST00000355574
ENSECAT00000000993	ENST00000355574
ENSECAT00000000404	ENST00000242728
ENSECAT00000006827	ENST00000519560
ENSECAT00000000447	ENST00000542965
ENSECAT00000000589	ENST00000295899
ENSECAT00000000412	ENST00000310389
ENSECAT00000000444	ENST00000361157
ENSECAT00000000491	ENST00000244565
ENSECAT00000000402	ENST00000320394
ENSECAT00000000513	ENST00000447370
ENSECAT00000000413	ENST00000423014
ENSECAT00000003174	ENST00000265351
ENSECAT00000000431	ENST00000425570
ENSECAT00000000483	ENST00000253801
ENSECAT00000000504	ENST00000341223
ENSECAT00000000397	ENST00000395323
ENSECAT00000000477	ENST00000355937
ENSECAT00000000449	ENST00000326621
ENSECAT00000000494	ENST00000538474
ENSECAT00000000453	ENST00000243776
ENSECAT00000000662	ENST00000258080
ENSECAT00000000687	ENST00000350026
ENSECAT00000000430	ENST00000612677
ENSECAT00000000416	ENST00000409228
ENSECAT00000000409	ENST00000289429
ENSECAT00000000436	ENST00000373229
ENSECAT00000000712	ENST00000377369
ENSECAT00000001898	ENST00000268482
ENSECAT00000002131	ENST00000262418
ENSECAT00000000532	ENST00000324096
ENSECAT00000002427	ENST00000622150
ENSECAT00000002712	ENST00000273854
ENSECAT00000000446	ENST00000306329
ENSECAT00000000442	ENST00000201647
ENSECAT00000000561	ENST00000349552
ENSECAT00000001244	ENST00000369075
ENSECAT00000007517	ENST00000379416
ENSECAT00000000545	ENST00000409343
ENSECAT00000000838	ENST00000620157
ENSECAT00000000611	ENST00000383794
ENSECAT00000000553	ENST00000372192
ENSECAT00000000497	ENST00000409484
ENSECAT00000000904	ENST00000260983
ENSECAT00000001047	ENST00000322623
ENSECAT00000000514	ENST00000253079
ENSECAT00000000511	ENST00000217315
ENSECAT00000000429	ENST00000615655
ENSECAT00000000678	ENST00000535286
ENSECAT00000000758	ENST00000358127
ENSECAT00000000544	ENST00000366481
ENSECAT00000000856	ENST00000327442
ENSECAT00000004087	ENST00000296302
ENSECAT00000004449	ENST00000409057
ENSECAT00000000440	ENST00000272645
ENSECAT00000000458	ENST00000298317
ENSECAT00000003207	ENST00000302418
ENSECAT00000005633	ENST00000347898
ENSECAT00000000443	ENST00000529948
ENSECAT00000000471	ENST00000405930
ENSECAT00000000527	ENST00000252322
ENSECAT00000002019	ENST00000038176
ENSECAT00000000462	ENST00000331426
ENSECAT00000000502	ENST00000337435
ENSECAT00000000541	ENST00000617782
ENSECAT00000000460	ENST00000339336
ENSECAT00000001439	ENST00000373060
ENSECAT00000000779	ENST00000311946
ENSECAT00000000495	ENST00000222728
ENSECAT00000000522	ENST00000224862
ENSECAT00000000457	ENST00000250498
ENSECAT00000000630	ENST00000453196
ENSECAT00000000726	ENST00000268070
ENSECAT00000000777	ENST00000268070
ENSECAT00000000820	ENST00000378103
ENSECAT00000000562	ENST00000348904
ENSECAT00000000547	ENST00000234301
ENSECAT00000000465	ENST00000619481
ENSECAT00000000770	ENST00000301332
ENSECAT00000000803	ENST00000301332
ENSECAT00000000488	ENST00000538575
ENSECAT00000002292	ENST00000368913
ENSECAT00000002317	ENST00000341697
ENSECAT00000000529	ENST00000369406
ENSECAT00000000672	ENST00000619548
ENSECAT00000000781	ENST00000392556
ENSECAT00000000466	ENST00000011691
ENSECAT00000000474	ENST00000348225
ENSECAT00000000626	ENST00000235835
ENSECAT00000001222	ENST00000264451
ENSECAT00000003911	ENST00000378826
ENSECAT00000004103	ENST00000259711
ENSECAT00000001925	ENST00000401548
ENSECAT00000001988	ENST00000401548
ENSECAT00000000476	ENST00000314391
ENSECAT00000000563	ENST00000361762
ENSECAT00000000512	ENST00000390435
ENSECAT00000000950	ENST00000219240
ENSECAT00000000493	ENST00000310194
ENSECAT00000000689	ENST00000417572
ENSECAT00000000481	ENST00000398997
ENSECAT00000000503	ENST00000422053
ENSECAT00000000746	ENST00000298892
ENSECAT00000000931	ENST00000298892
ENSECAT00000000750	ENST00000613397
ENSECAT00000000526	ENST00000612885
ENSECAT00000001614	ENST00000368838
ENSECAT00000000542	ENST00000281437
ENSECAT00000000580	ENST00000370766
ENSECAT00000000570	ENST00000326092
ENSECAT00000001432	ENST00000528838
ENSECAT00000001744	ENST00000528838
ENSECAT00000003231	ENST00000360066
ENSECAT00000002202	ENST00000588136
ENSECAT00000000828	ENST00000309660
ENSECAT00000001769	ENST00000317135
ENSECAT00000002053	ENST00000342085
ENSECAT00000000879	ENST00000539469
ENSECAT00000000501	ENST00000634093
ENSECAT00000004940	ENST00000376065
ENSECAT00000005088	ENST00000376052
ENSECAT00000000574	ENST00000292246
ENSECAT00000000583	ENST00000395405
ENSECAT00000000591	ENST00000373894
ENSECAT00000000595	ENST00000397732
ENSECAT00000002147	ENST00000394303
ENSECAT00000002857	ENST00000264868
ENSECAT00000001763	ENST00000538966
ENSECAT00000002051	ENST00000361971
ENSECAT00000000554	ENST00000477665
ENSECAT00000000548	ENST00000444202
ENSECAT00000000613	ENST00000357214
ENSECAT00000001168	ENST00000253577
ENSECAT00000000633	ENST00000316077
ENSECAT00000001825	ENST00000333003
ENSECAT00000000531	ENST00000634605
ENSECAT00000000604	ENST00000326877
ENSECAT00000000619	ENST00000382226
ENSECAT00000000944	ENST00000258317
ENSECAT00000002690	ENST00000359874
ENSECAT00000002726	ENST00000256084
ENSECAT00000002753	ENST00000256084
ENSECAT00000000525	ENST00000408957
ENSECAT00000000557	ENST00000393132
ENSECAT00000000539	ENST00000371330
ENSECAT00000001905	ENST00000258733
ENSECAT00000000670	ENST00000261751
ENSECAT00000000556	ENST00000353065
ENSECAT00000001224	ENST00000326245
ENSECAT00000000634	ENST00000274901
ENSECAT00000002203	ENST00000221543
ENSECAT00000000602	ENST00000263468
ENSECAT00000029073	ENST00000220669
ENSECAT00000028987	ENST00000358757
ENSECAT00000000534	ENST00000517669
ENSECAT00000000642	ENST00000368613
ENSECAT00000000537	ENST00000572681
ENSECAT00000000640	ENST00000359595
ENSECAT00000000710	ENST00000515098
ENSECAT00000002155	ENST00000440226
ENSECAT00000000543	ENST00000381033
ENSECAT00000000540	ENST00000623481
ENSECAT00000000552	ENST00000368817
ENSECAT00000000560	ENST00000259037
ENSECAT00000000577	ENST00000381607
ENSECAT00000000605	ENST00000441782
ENSECAT00000001009	ENST00000631573
ENSECAT00000001019	ENST00000294507
ENSECAT00000000762	ENST00000356692
ENSECAT00000002892	ENST00000231790
ENSECAT00000003240	ENST00000231790
ENSECAT00000001765	ENST00000322313
ENSECAT00000000775	ENST00000262776
ENSECAT00000000559	ENST00000521495
ENSECAT00000000610	ENST00000372163
ENSECAT00000000629	ENST00000372163
ENSECAT00000000632	ENST00000372163
ENSECAT00000000813	ENST00000263368
ENSECAT00000000664	ENST00000539526
ENSECAT00000003645	ENST00000287766
ENSECAT00000005107	ENST00000366923
ENSECAT00000007204	ENST00000354785
ENSECAT00000007210	ENST00000359671
ENSECAT00000007212	ENST00000356005
ENSECAT00000000578	ENST00000370350
ENSECAT00000000584	ENST00000280701
ENSECAT00000000881	ENST00000311269
ENSECAT00000000932	ENST00000311269
ENSECAT00000002954	ENST00000422354
ENSECAT00000000573	ENST00000616154
ENSECAT00000001674	ENST00000336133
ENSECAT00000000835	ENST00000381093
ENSECAT00000000565	ENST00000451188
ENSECAT00000000866	ENST00000240316
ENSECAT00000000568	ENST00000557342
ENSECAT00000000800	ENST00000303145
ENSECAT00000000818	ENST00000303145
ENSECAT00000000597	ENST00000368596
ENSECAT00000000688	ENST00000528954
ENSECAT00000000799	ENST00000594216
ENSECAT00000000709	ENST00000617382
ENSECAT00000000971	ENST00000377443
ENSECAT00000001390	ENST00000377436
ENSECAT00000000579	ENST00000329722
ENSECAT00000001279	ENST00000323776
ENSECAT00000000733	ENST00000378226
ENSECAT00000000648	ENST00000545712
ENSECAT00000001935	ENST00000397962
ENSECAT00000000599	ENST00000303450
ENSECAT00000001403	ENST00000307358
ENSECAT00000001039	ENST00000400334
ENSECAT00000000592	ENST00000368705
ENSECAT00000000603	ENST00000369210
ENSECAT00000004388	ENST00000547271
ENSECAT00000000588	ENST00000592875
ENSECAT00000000593	ENST00000374116
ENSECAT00000002623	ENST00000371945
ENSECAT00000000635	ENST00000392711
ENSECAT00000000716	ENST00000381070
ENSECAT00000000608	ENST00000538312
ENSECAT00000000607	ENST00000329722
ENSECAT00000000596	ENST00000632248
ENSECAT00000001143	ENST00000271620
ENSECAT00000002154	ENST00000375066
ENSECAT00000000713	ENST00000622181
ENSECAT00000001371	ENST00000405914
ENSECAT00000000631	ENST00000327047
ENSECAT00000002548	ENST00000417551
ENSECAT00000002326	ENST00000299855
ENSECAT00000003568	ENST00000357895
ENSECAT00000001357	ENST00000531794
ENSECAT00000003180	ENST00000039989
ENSECAT00000000637	ENST00000382298
ENSECAT00000000624	ENST00000310806
ENSECAT00000006511	ENST00000398776
ENSECAT00000006632	ENST00000398776
ENSECAT00000001010	ENST00000357384
ENSECAT00000004964	ENST00000604395
ENSECAT00000001001	ENST00000480945
ENSECAT00000001121	ENST00000480945
ENSECAT00000000676	ENST00000514182
ENSECAT00000001374	ENST00000294664
ENSECAT00000001639	ENST00000294664
ENSECAT00000000617	ENST00000623963
ENSECAT00000000612	ENST00000623963
ENSECAT00000005829	ENST00000295736
ENSECAT00000005864	ENST00000295736
ENSECAT00000005995	ENST00000428386
ENSECAT00000000609	ENST00000244289
ENSECAT00000000615	ENST00000378186
ENSECAT00000000745	ENST00000314134
ENSECAT00000001767	ENST00000378295
ENSECAT00000002306	ENST00000336431
ENSECAT00000000623	ENST00000544088
ENSECAT00000000954	ENST00000390655
ENSECAT00000000620	ENST00000623963
ENSECAT00000000774	ENST00000253354
ENSECAT00000000783	ENST00000269491
ENSECAT00000002347	ENST00000259154
ENSECAT00000000690	ENST00000394458
ENSECAT00000002075	ENST00000360787
ENSECAT00000000771	ENST00000443333
ENSECAT00000002850	ENST00000433389
ENSECAT00000000860	ENST00000397732
ENSECAT00000002026	ENST00000274181
ENSECAT00000000721	ENST00000300226
ENSECAT00000001023	ENST00000366472
ENSECAT00000000643	ENST00000601181
ENSECAT00000002072	ENST00000358242
ENSECAT00000002375	ENST00000293872
ENSECAT00000000916	ENST00000514111
ENSECAT00000001838	ENST00000396623
ENSECAT00000000695	ENST00000370277
ENSECAT00000002633	ENST00000406622
ENSECAT00000000669	ENST00000321063
ENSECAT00000000663	ENST00000527223
ENSECAT00000001370	ENST00000370550
ENSECAT00000000968	ENST00000315519
ENSECAT00000000696	ENST00000285311
ENSECAT00000000639	ENST00000397906
ENSECAT00000000659	ENST00000282670
ENSECAT00000004166	ENST00000306125
ENSECAT00000000706	ENST00000533379
ENSECAT00000003773	ENST00000413689
ENSECAT00000003788	ENST00000451551
ENSECAT00000001864	ENST00000335678
ENSECAT00000002468	ENST00000396554
ENSECAT00000002627	ENST00000380542
ENSECAT00000000650	ENST00000315519
ENSECAT00000028846	ENST00000612797
ENSECAT00000004957	ENST00000612797
ENSECAT00000000668	ENST00000311352
ENSECAT00000001899	ENST00000371120
