Ensembl Gene ID	Ensembl Transcript ID
ENSECAG00000000056	ENSECAT00000000053
ENSECAG00000000057	ENSECAT00000000056
ENSECAG00000000058	ENSECAT00000000085
ENSECAG00000000059	ENSECAT00000000061
ENSECAG00000000060	ENSECAT00000000090
ENSECAG00000000061	ENSECAT00000000048
ENSECAG00000000062	ENSECAT00000000046
ENSECAG00000000063	ENSECAT00000000057
ENSECAG00000000064	ENSECAT00000000058
ENSECAG00000000065	ENSECAT00000000064
ENSECAG00000000066	ENSECAT00000000225
ENSECAG00000000067	ENSECAT00000000050
ENSECAG00000000068	ENSECAT00000000071
ENSECAG00000000069	ENSECAT00000000051
ENSECAG00000000070	ENSECAT00000000060
ENSECAG00000000071	ENSECAT00000000054
ENSECAG00000000072	ENSECAT00000000086
ENSECAG00000000073	ENSECAT00000000152
ENSECAG00000000073	ENSECAT00000000157
ENSECAG00000000074	ENSECAT00000000076
ENSECAG00000000075	ENSECAT00000000059
ENSECAG00000000076	ENSECAT00000000062
ENSECAG00000000077	ENSECAT00000000091
ENSECAG00000000079	ENSECAT00000000063
ENSECAG00000000080	ENSECAT00000000099
ENSECAG00000000081	ENSECAT00000000070
ENSECAG00000000083	ENSECAT00000000065
ENSECAG00000000084	ENSECAT00000000107
ENSECAG00000000085	ENSECAT00000000104
ENSECAG00000000086	ENSECAT00000000073
ENSECAG00000000087	ENSECAT00000000106
ENSECAG00000000088	ENSECAT00000000110
ENSECAG00000000089	ENSECAT00000000072
ENSECAG00000000090	ENSECAT00000000116
ENSECAG00000000091	ENSECAT00000000139
ENSECAG00000000092	ENSECAT00000000074
ENSECAG00000000093	ENSECAT00000000081
ENSECAG00000000094	ENSECAT00000000078
ENSECAG00000000095	ENSECAT00000000188
ENSECAG00000000096	ENSECAT00000000191
ENSECAG00000000097	ENSECAT00000000268
ENSECAG00000000098	ENSECAT00000000080
ENSECAG00000000099	ENSECAT00000002658
ENSECAG00000000100	ENSECAT00000000082
ENSECAG00000000101	ENSECAT00000000129
ENSECAG00000000103	ENSECAT00000000093
ENSECAG00000000104	ENSECAT00000000098
ENSECAG00000000105	ENSECAT00000000133
ENSECAG00000000105	ENSECAT00000000147
ENSECAG00000000106	ENSECAT00000000158
ENSECAG00000000107	ENSECAT00000000095
ENSECAG00000000108	ENSECAT00000000084
ENSECAG00000000109	ENSECAT00000000083
ENSECAG00000000110	ENSECAT00000000380
ENSECAG00000000110	ENSECAT00000000424
ENSECAG00000000112	ENSECAT00000000087
ENSECAG00000000113	ENSECAT00000000306
ENSECAG00000000114	ENSECAT00000000166
ENSECAG00000000115	ENSECAT00000000089
ENSECAG00000000116	ENSECAT00000000274
ENSECAG00000000116	ENSECAT00000000290
ENSECAG00000000117	ENSECAT00000000103
ENSECAG00000000118	ENSECAT00000000094
ENSECAG00000000119	ENSECAT00000000097
ENSECAG00000000120	ENSECAT00000000102
ENSECAG00000000121	ENSECAT00000000151
ENSECAG00000000121	ENSECAT00000000155
ENSECAG00000000122	ENSECAT00000000254
ENSECAG00000000123	ENSECAT00000000096
ENSECAG00000000124	ENSECAT00000000480
ENSECAG00000000125	ENSECAT00000000156
ENSECAG00000000126	ENSECAT00000000143
ENSECAG00000000127	ENSECAT00000000249
ENSECAG00000000127	ENSECAT00000000281
ENSECAG00000000128	ENSECAT00000000114
ENSECAG00000000129	ENSECAT00000000115
ENSECAG00000000130	ENSECAT00000000120
ENSECAG00000000131	ENSECAT00000000100
ENSECAG00000000132	ENSECAT00000001417
ENSECAG00000000133	ENSECAT00000000124
ENSECAG00000000134	ENSECAT00000000118
ENSECAG00000000135	ENSECAT00000000310
ENSECAG00000000136	ENSECAT00000000319
ENSECAG00000000137	ENSECAT00000000111
ENSECAG00000000138	ENSECAT00000000199
ENSECAG00000000139	ENSECAT00000000122
ENSECAG00000000140	ENSECAT00000000335
ENSECAG00000000141	ENSECAT00000000498
ENSECAG00000000142	ENSECAT00000000101
ENSECAG00000000143	ENSECAT00000000140
ENSECAG00000000144	ENSECAT00000000142
ENSECAG00000000145	ENSECAT00000000105
ENSECAG00000000146	ENSECAT00000000109
ENSECAG00000000147	ENSECAT00000000119
ENSECAG00000000148	ENSECAT00000000112
ENSECAG00000000149	ENSECAT00000000293
ENSECAG00000000150	ENSECAT00000000113
ENSECAG00000000151	ENSECAT00000000138
ENSECAG00000000152	ENSECAT00000000221
ENSECAG00000000153	ENSECAT00000000154
ENSECAG00000000154	ENSECAT00000000121
ENSECAG00000000155	ENSECAT00000000123
ENSECAG00000000156	ENSECAT00000000127
ENSECAG00000000157	ENSECAT00000000117
ENSECAG00000000158	ENSECAT00000000181
ENSECAG00000000159	ENSECAT00000000137
ENSECAG00000000160	ENSECAT00000000149
ENSECAG00000000161	ENSECAT00000000616
ENSECAG00000000162	ENSECAT00000000727
ENSECAG00000000162	ENSECAT00000000767
ENSECAG00000000162	ENSECAT00000000997
ENSECAG00000000162	ENSECAT00000001013
ENSECAG00000000164	ENSECAT00000000126
ENSECAG00000000165	ENSECAT00000000125
ENSECAG00000000166	ENSECAT00000000182
ENSECAG00000000167	ENSECAT00000000128
ENSECAG00000000168	ENSECAT00000000217
ENSECAG00000000169	ENSECAT00000000130
ENSECAG00000000170	ENSECAT00000000136
ENSECAG00000000171	ENSECAT00000000295
ENSECAG00000000172	ENSECAT00000000131
ENSECAG00000000173	ENSECAT00000000230
ENSECAG00000000174	ENSECAT00000000161
ENSECAG00000000175	ENSECAT00000000134
ENSECAG00000000176	ENSECAT00000000171
ENSECAG00000000177	ENSECAT00000000132
ENSECAG00000000178	ENSECAT00000000260
ENSECAG00000000179	ENSECAT00000000180
ENSECAG00000000180	ENSECAT00000000135
ENSECAG00000000182	ENSECAT00000000144
ENSECAG00000000183	ENSECAT00000000141
ENSECAG00000000184	ENSECAT00000000183
ENSECAG00000000185	ENSECAT00000000168
ENSECAG00000000186	ENSECAT00000000159
ENSECAG00000000187	ENSECAT00000000165
ENSECAG00000000188	ENSECAT00000000287
ENSECAG00000000189	ENSECAT00000000146
ENSECAG00000000190	ENSECAT00000000162
ENSECAG00000000191	ENSECAT00000000145
ENSECAG00000000192	ENSECAT00000000150
ENSECAG00000000193	ENSECAT00000000473
ENSECAG00000000194	ENSECAT00000000178
ENSECAG00000000195	ENSECAT00000000272
ENSECAG00000000196	ENSECAT00000000336
ENSECAG00000000197	ENSECAT00000000204
ENSECAG00000000199	ENSECAT00000000411
ENSECAG00000000200	ENSECAT00000000160
ENSECAG00000000201	ENSECAT00000000201
ENSECAG00000000201	ENSECAT00000000203
ENSECAG00000000202	ENSECAT00000000169
ENSECAG00000000203	ENSECAT00000000271
ENSECAG00000000204	ENSECAT00000000214
ENSECAG00000000205	ENSECAT00000000194
ENSECAG00000000206	ENSECAT00000000167
ENSECAG00000000207	ENSECAT00000000176
ENSECAG00000000208	ENSECAT00000000164
ENSECAG00000000209	ENSECAT00000000163
ENSECAG00000000210	ENSECAT00000000173
ENSECAG00000000211	ENSECAT00000000175
ENSECAG00000000212	ENSECAT00000000425
ENSECAG00000000213	ENSECAT00000000172
ENSECAG00000000214	ENSECAT00000000219
ENSECAG00000000215	ENSECAT00000000170
ENSECAG00000000216	ENSECAT00000000206
ENSECAG00000000217	ENSECAT00000000215
ENSECAG00000000218	ENSECAT00000000248
ENSECAG00000000219	ENSECAT00000000185
ENSECAG00000000220	ENSECAT00000000202
ENSECAG00000000221	ENSECAT00000000391
ENSECAG00000000222	ENSECAT00000000174
ENSECAG00000000223	ENSECAT00000000533
ENSECAG00000000224	ENSECAT00000000209
ENSECAG00000000225	ENSECAT00000000200
ENSECAG00000000226	ENSECAT00000000210
ENSECAG00000000227	ENSECAT00000001478
ENSECAG00000000227	ENSECAT00000001829
ENSECAG00000000228	ENSECAT00000000177
ENSECAG00000000229	ENSECAT00000000229
ENSECAG00000000230	ENSECAT00000000179
ENSECAG00000000231	ENSECAT00000000423
ENSECAG00000000232	ENSECAT00000000267
ENSECAG00000000233	ENSECAT00000000239
ENSECAG00000000234	ENSECAT00000000189
ENSECAG00000000235	ENSECAT00000000363
ENSECAG00000008138	ENSECAT00000028829
ENSECAG00000008138	ENSECAT00000008238
ENSECAG00000014275	ENSECAT00000014919
ENSECAG00000014275	ENSECAT00000029049
ENSECAG00000024085	ENSECAT00000029127
ENSECAG00000024085	ENSECAT00000025835
ENSECAG00000022502	ENSECAT00000024071
ENSECAG00000022502	ENSECAT00000028978
ENSECAG00000022502	ENSECAT00000002920
ENSECAG00000022502	ENSECAT00000002987
ENSECAG00000000237	ENSECAT00000000701
ENSECAG00000000238	ENSECAT00000000184
ENSECAG00000000239	ENSECAT00000000245
ENSECAG00000000239	ENSECAT00000000246
ENSECAG00000000240	ENSECAT00000000224
ENSECAG00000000241	ENSECAT00000000186
ENSECAG00000000242	ENSECAT00000000379
ENSECAG00000000243	ENSECAT00000000233
ENSECAG00000000244	ENSECAT00000000207
ENSECAG00000026944	ENSECAT00000028910
ENSECAG00000000246	ENSECAT00000000324
ENSECAG00000000248	ENSECAT00000000193
ENSECAG00000000249	ENSECAT00000000190
ENSECAG00000000250	ENSECAT00000000208
ENSECAG00000000251	ENSECAT00000000205
ENSECAG00000000252	ENSECAT00000000218
ENSECAG00000000253	ENSECAT00000000192
ENSECAG00000000254	ENSECAT00000000195
ENSECAG00000000255	ENSECAT00000000197
ENSECAG00000000256	ENSECAT00000000198
ENSECAG00000000257	ENSECAT00000000251
ENSECAG00000000258	ENSECAT00000000196
ENSECAG00000000259	ENSECAT00000000314
ENSECAG00000000259	ENSECAT00000000325
ENSECAG00000000260	ENSECAT00000000223
ENSECAG00000000261	ENSECAT00000000496
ENSECAG00000000262	ENSECAT00000000289
ENSECAG00000000262	ENSECAT00000000309
ENSECAG00000000263	ENSECAT00000000234
ENSECAG00000000264	ENSECAT00000000523
ENSECAG00000000265	ENSECAT00000000227
ENSECAG00000000266	ENSECAT00000000213
ENSECAG00000000267	ENSECAT00000002397
ENSECAG00000000268	ENSECAT00000000211
ENSECAG00000000269	ENSECAT00000000286
ENSECAG00000000270	ENSECAT00000000275
ENSECAG00000000270	ENSECAT00000000291
ENSECAG00000000271	ENSECAT00000000320
ENSECAG00000000272	ENSECAT00000000216
ENSECAG00000000273	ENSECAT00000000422
ENSECAG00000026935	ENSECAT00000029095
ENSECAG00000026869	ENSECAT00000029058
ENSECAG00000026844	ENSECAT00000029019
ENSECAG00000000275	ENSECAT00000000212
ENSECAG00000000276	ENSECAT00000000220
ENSECAG00000000277	ENSECAT00000000232
ENSECAG00000000278	ENSECAT00000000241
ENSECAG00000000279	ENSECAT00000000235
ENSECAG00000000280	ENSECAT00000000417
ENSECAG00000000281	ENSECAT00000000344
ENSECAG00000000282	ENSECAT00000000463
ENSECAG00000000283	ENSECAT00000000240
ENSECAG00000000284	ENSECAT00000000410
ENSECAG00000000285	ENSECAT00000000266
ENSECAG00000000286	ENSECAT00000000350
ENSECAG00000000287	ENSECAT00000003105
ENSECAG00000000287	ENSECAT00000003287
ENSECAG00000000288	ENSECAT00000000377
ENSECAG00000000289	ENSECAT00000000273
ENSECAG00000000290	ENSECAT00000000226
ENSECAG00000000291	ENSECAT00000003199
ENSECAG00000000292	ENSECAT00000000435
ENSECAG00000000294	ENSECAT00000001664
ENSECAG00000000294	ENSECAT00000002236
ENSECAG00000000295	ENSECAT00000000606
ENSECAG00000000296	ENSECAT00000000847
ENSECAG00000000297	ENSECAT00000000284
ENSECAG00000000298	ENSECAT00000000697
ENSECAG00000000298	ENSECAT00000000778
ENSECAG00000000299	ENSECAT00000000256
ENSECAG00000000300	ENSECAT00000000374
ENSECAG00000000301	ENSECAT00000000346
ENSECAG00000000302	ENSECAT00000000378
ENSECAG00000000303	ENSECAT00000000516
ENSECAG00000000305	ENSECAT00000000228
ENSECAG00000000306	ENSECAT00000000264
ENSECAG00000000307	ENSECAT00000000257
ENSECAG00000000308	ENSECAT00000000749
ENSECAG00000000309	ENSECAT00000000237
ENSECAG00000000310	ENSECAT00000000327
ENSECAG00000000311	ENSECAT00000000734
ENSECAG00000000312	ENSECAT00000000236
ENSECAG00000000313	ENSECAT00000000590
ENSECAG00000000314	ENSECAT00000000594
ENSECAG00000000315	ENSECAT00000000285
ENSECAG00000000316	ENSECAT00000000242
ENSECAG00000000317	ENSECAT00000000252
ENSECAG00000000318	ENSECAT00000000243
ENSECAG00000000319	ENSECAT00000000247
ENSECAG00000000320	ENSECAT00000000303
ENSECAG00000000321	ENSECAT00000000302
ENSECAG00000000322	ENSECAT00000000244
ENSECAG00000000323	ENSECAT00000000288
ENSECAG00000000324	ENSECAT00000000279
ENSECAG00000000325	ENSECAT00000003319
ENSECAG00000000326	ENSECAT00000000261
ENSECAG00000000327	ENSECAT00000000311
ENSECAG00000000328	ENSECAT00000000250
ENSECAG00000000329	ENSECAT00000000333
ENSECAG00000000330	ENSECAT00000000258
ENSECAG00000000331	ENSECAT00000000428
ENSECAG00000000332	ENSECAT00000000255
ENSECAG00000000333	ENSECAT00000000270
ENSECAG00000000334	ENSECAT00000000265
ENSECAG00000000335	ENSECAT00000000253
ENSECAG00000000336	ENSECAT00000002550
ENSECAG00000000337	ENSECAT00000000259
ENSECAG00000000338	ENSECAT00000000262
ENSECAG00000000339	ENSECAT00000007684
ENSECAG00000000339	ENSECAT00000007897
ENSECAG00000000339	ENSECAT00000008036
ENSECAG00000000340	ENSECAT00000001108
ENSECAG00000000341	ENSECAT00000000478
ENSECAG00000000342	ENSECAT00000000263
ENSECAG00000000343	ENSECAT00000000355
ENSECAG00000000344	ENSECAT00000000304
ENSECAG00000000345	ENSECAT00000000297
ENSECAG00000000346	ENSECAT00000000842
ENSECAG00000000347	ENSECAT00000000508
ENSECAG00000000348	ENSECAT00000001641
ENSECAG00000000349	ENSECAT00000000269
ENSECAG00000000350	ENSECAT00000000373
ENSECAG00000000351	ENSECAT00000000280
ENSECAG00000000352	ENSECAT00000000739
ENSECAG00000000353	ENSECAT00000000292
ENSECAG00000000354	ENSECAT00000000973
ENSECAG00000000354	ENSECAT00000001929
ENSECAG00000000355	ENSECAT00000000276
ENSECAG00000000356	ENSECAT00000000586
ENSECAG00000000357	ENSECAT00000002863
ENSECAG00000000357	ENSECAT00000002924
ENSECAG00000000358	ENSECAT00000000277
ENSECAG00000000359	ENSECAT00000000882
ENSECAG00000000359	ENSECAT00000001234
ENSECAG00000000360	ENSECAT00000000283
ENSECAG00000000361	ENSECAT00000000451
ENSECAG00000000362	ENSECAT00000000507
ENSECAG00000000363	ENSECAT00000000282
ENSECAG00000000364	ENSECAT00000000368
ENSECAG00000000365	ENSECAT00000000418
ENSECAG00000000365	ENSECAT00000000426
ENSECAG00000000366	ENSECAT00000000509
ENSECAG00000000367	ENSECAT00000000472
ENSECAG00000000368	ENSECAT00000000321
ENSECAG00000000369	ENSECAT00000000448
ENSECAG00000000370	ENSECAT00000000294
ENSECAG00000000371	ENSECAT00000000299
ENSECAG00000000372	ENSECAT00000000408
ENSECAG00000000373	ENSECAT00000001406
ENSECAG00000000374	ENSECAT00000000365
ENSECAG00000000375	ENSECAT00000000315
ENSECAG00000000376	ENSECAT00000000317
ENSECAG00000000377	ENSECAT00000000484
ENSECAG00000000378	ENSECAT00000000322
ENSECAG00000000379	ENSECAT00000000298
ENSECAG00000000380	ENSECAT00000000296
ENSECAG00000000381	ENSECAT00000001362
ENSECAG00000000382	ENSECAT00000000312
ENSECAG00000000383	ENSECAT00000001865
ENSECAG00000000384	ENSECAT00000000362
ENSECAG00000000385	ENSECAT00000000307
ENSECAG00000000386	ENSECAT00000000420
ENSECAG00000000387	ENSECAT00000000351
ENSECAG00000000388	ENSECAT00000000300
ENSECAG00000000389	ENSECAT00000000301
ENSECAG00000000390	ENSECAT00000000343
ENSECAG00000000391	ENSECAT00000000332
ENSECAG00000000392	ENSECAT00000000454
ENSECAG00000000393	ENSECAT00000003219
ENSECAG00000000393	ENSECAT00000003497
ENSECAG00000000393	ENSECAT00000003511
ENSECAG00000000394	ENSECAT00000000305
ENSECAG00000000395	ENSECAT00000000572
ENSECAG00000000396	ENSECAT00000000375
ENSECAG00000000397	ENSECAT00000003106
ENSECAG00000000398	ENSECAT00000000566
ENSECAG00000000399	ENSECAT00000000389
ENSECAG00000000400	ENSECAT00000000475
ENSECAG00000000401	ENSECAT00000000313
ENSECAG00000000402	ENSECAT00000000406
ENSECAG00000000403	ENSECAT00000000329
ENSECAG00000000403	ENSECAT00000000371
ENSECAG00000000404	ENSECAT00000000490
ENSECAG00000000405	ENSECAT00000000308
ENSECAG00000000406	ENSECAT00000000392
ENSECAG00000000407	ENSECAT00000000862
ENSECAG00000000408	ENSECAT00000000338
ENSECAG00000000409	ENSECAT00000000316
ENSECAG00000000410	ENSECAT00000000752
ENSECAG00000000411	ENSECAT00000000364
ENSECAG00000000412	ENSECAT00000000323
ENSECAG00000000413	ENSECAT00000000972
ENSECAG00000000414	ENSECAT00000000614
ENSECAG00000000415	ENSECAT00000000318
ENSECAG00000000416	ENSECAT00000000390
ENSECAG00000000417	ENSECAT00000000432
ENSECAG00000000418	ENSECAT00000000348
ENSECAG00000000419	ENSECAT00000000342
ENSECAG00000000420	ENSECAT00000000470
ENSECAG00000000420	ENSECAT00000000489
ENSECAG00000000421	ENSECAT00000000340
ENSECAG00000000422	ENSECAT00000000330
ENSECAG00000000423	ENSECAT00000001336
ENSECAG00000000424	ENSECAT00000000328
ENSECAG00000000425	ENSECAT00000000326
ENSECAG00000000426	ENSECAT00000000341
ENSECAG00000000427	ENSECAT00000000331
ENSECAG00000000428	ENSECAT00000000438
ENSECAG00000000429	ENSECAT00000000334
ENSECAG00000000430	ENSECAT00000002458
ENSECAG00000000431	ENSECAT00000000575
ENSECAG00000000432	ENSECAT00000000367
ENSECAG00000000433	ENSECAT00000000339
ENSECAG00000000434	ENSECAT00000000337
ENSECAG00000000435	ENSECAT00000005992
ENSECAG00000000435	ENSECAT00000006128
ENSECAG00000000436	ENSECAT00000000831
ENSECAG00000000437	ENSECAT00000000582
ENSECAG00000000438	ENSECAT00000000680
ENSECAG00000000439	ENSECAT00000000370
ENSECAG00000000440	ENSECAT00000000550
ENSECAG00000000441	ENSECAT00000000347
ENSECAG00000000442	ENSECAT00000000414
ENSECAG00000000443	ENSECAT00000000345
ENSECAG00000000444	ENSECAT00000000349
ENSECAG00000000445	ENSECAT00000000352
ENSECAG00000000446	ENSECAT00000000736
ENSECAG00000000447	ENSECAT00000000359
ENSECAG00000000448	ENSECAT00000000354
ENSECAG00000000449	ENSECAT00000000479
ENSECAG00000000450	ENSECAT00000000445
ENSECAG00000000451	ENSECAT00000000353
ENSECAG00000000452	ENSECAT00000000356
ENSECAG00000000453	ENSECAT00000000505
ENSECAG00000000454	ENSECAT00000000372
ENSECAG00000000455	ENSECAT00000000361
ENSECAG00000000456	ENSECAT00000000357
ENSECAG00000000457	ENSECAT00000000358
ENSECAG00000000458	ENSECAT00000000452
ENSECAG00000000459	ENSECAT00000000360
ENSECAG00000000460	ENSECAT00000000398
ENSECAG00000000461	ENSECAT00000000383
ENSECAG00000000462	ENSECAT00000000381
ENSECAG00000000463	ENSECAT00000000524
ENSECAG00000000464	ENSECAT00000000567
ENSECAG00000000464	ENSECAT00000000628
ENSECAG00000000465	ENSECAT00000001427
ENSECAG00000000466	ENSECAT00000000538
ENSECAG00000000467	ENSECAT00000000506
ENSECAG00000000468	ENSECAT00000000366
ENSECAG00000000469	ENSECAT00000001098
ENSECAG00000000470	ENSECAT00000000384
ENSECAG00000000471	ENSECAT00000000433
ENSECAG00000000472	ENSECAT00000000369
ENSECAG00000000473	ENSECAT00000000558
ENSECAG00000000474	ENSECAT00000000467
ENSECAG00000000475	ENSECAT00000003975
ENSECAG00000000476	ENSECAT00000000376
ENSECAG00000000477	ENSECAT00000000576
ENSECAG00000000478	ENSECAT00000000515
ENSECAG00000000479	ENSECAT00000001245
ENSECAG00000000480	ENSECAT00000002615
ENSECAG00000000480	ENSECAT00000002650
ENSECAG00000000481	ENSECAT00000000385
ENSECAG00000000481	ENSECAT00000000405
ENSECAG00000000482	ENSECAT00000000427
ENSECAG00000000483	ENSECAT00000000382
ENSECAG00000000483	ENSECAT00000000400
ENSECAG00000000484	ENSECAT00000000699
ENSECAG00000000485	ENSECAT00000001570
ENSECAG00000000485	ENSECAT00000001719
ENSECAG00000000485	ENSECAT00000001862
ENSECAG00000000486	ENSECAT00000000437
ENSECAG00000000487	ENSECAT00000000464
ENSECAG00000000488	ENSECAT00000000396
ENSECAG00000000489	ENSECAT00000000674
ENSECAG00000000490	ENSECAT00000000386
ENSECAG00000000491	ENSECAT00000000387
ENSECAG00000000492	ENSECAT00000000388
ENSECAG00000000493	ENSECAT00000000857
ENSECAG00000000493	ENSECAT00000000993
ENSECAG00000000494	ENSECAT00000000404
ENSECAG00000000495	ENSECAT00000006827
ENSECAG00000000496	ENSECAT00000000447
ENSECAG00000000497	ENSECAT00000000589
ENSECAG00000000498	ENSECAT00000000412
ENSECAG00000000500	ENSECAT00000000444
ENSECAG00000000501	ENSECAT00000000491
ENSECAG00000000502	ENSECAT00000000402
ENSECAG00000000503	ENSECAT00000000395
ENSECAG00000000504	ENSECAT00000000394
ENSECAG00000000505	ENSECAT00000000513
ENSECAG00000000506	ENSECAT00000000413
ENSECAG00000000507	ENSECAT00000003174
ENSECAG00000000508	ENSECAT00000000431
ENSECAG00000000509	ENSECAT00000000483
ENSECAG00000000510	ENSECAT00000000393
ENSECAG00000000511	ENSECAT00000000504
ENSECAG00000000512	ENSECAT00000000397
ENSECAG00000000513	ENSECAT00000000477
ENSECAG00000000514	ENSECAT00000000449
ENSECAG00000000515	ENSECAT00000000494
ENSECAG00000000516	ENSECAT00000000453
ENSECAG00000000517	ENSECAT00000000662
ENSECAG00000000518	ENSECAT00000000687
ENSECAG00000000519	ENSECAT00000000430
ENSECAG00000000520	ENSECAT00000000416
ENSECAG00000000521	ENSECAT00000000409
ENSECAG00000000522	ENSECAT00000000436
ENSECAG00000000523	ENSECAT00000000401
ENSECAG00000000524	ENSECAT00000000403
ENSECAG00000000525	ENSECAT00000000712
ENSECAG00000000526	ENSECAT00000001898
ENSECAG00000000527	ENSECAT00000002131
ENSECAG00000000528	ENSECAT00000000407
ENSECAG00000000529	ENSECAT00000000532
ENSECAG00000000530	ENSECAT00000002427
ENSECAG00000000530	ENSECAT00000002712
ENSECAG00000000531	ENSECAT00000000446
ENSECAG00000000532	ENSECAT00000000442
ENSECAG00000000533	ENSECAT00000000415
ENSECAG00000000534	ENSECAT00000000419
ENSECAG00000000535	ENSECAT00000000561
ENSECAG00000000536	ENSECAT00000001244
ENSECAG00000000537	ENSECAT00000007517
ENSECAG00000000538	ENSECAT00000000545
ENSECAG00000000539	ENSECAT00000000838
ENSECAG00000000540	ENSECAT00000000611
ENSECAG00000000541	ENSECAT00000000553
ENSECAG00000000542	ENSECAT00000000421
ENSECAG00000000543	ENSECAT00000000497
ENSECAG00000000544	ENSECAT00000000904
ENSECAG00000000545	ENSECAT00000001047
ENSECAG00000000546	ENSECAT00000000514
ENSECAG00000000547	ENSECAT00000000511
ENSECAG00000000548	ENSECAT00000000429
ENSECAG00000000550	ENSECAT00000000678
ENSECAG00000000551	ENSECAT00000000758
ENSECAG00000000552	ENSECAT00000000544
ENSECAG00000000553	ENSECAT00000000434
ENSECAG00000000554	ENSECAT00000000856
ENSECAG00000000555	ENSECAT00000004087
ENSECAG00000000555	ENSECAT00000004449
ENSECAG00000000556	ENSECAT00000000440
ENSECAG00000000557	ENSECAT00000000458
ENSECAG00000000558	ENSECAT00000003207
ENSECAG00000000559	ENSECAT00000005633
ENSECAG00000000560	ENSECAT00000000443
ENSECAG00000000561	ENSECAT00000000439
ENSECAG00000000562	ENSECAT00000000471
ENSECAG00000000563	ENSECAT00000000441
ENSECAG00000000564	ENSECAT00000000527
ENSECAG00000000565	ENSECAT00000002019
ENSECAG00000000566	ENSECAT00000000462
ENSECAG00000000567	ENSECAT00000000502
ENSECAG00000000568	ENSECAT00000000541
ENSECAG00000000569	ENSECAT00000000468
ENSECAG00000000570	ENSECAT00000000455
ENSECAG00000000571	ENSECAT00000000460
ENSECAG00000000572	ENSECAT00000001439
ENSECAG00000000573	ENSECAT00000000450
ENSECAG00000000574	ENSECAT00000000779
ENSECAG00000000575	ENSECAT00000000495
ENSECAG00000000576	ENSECAT00000000522
ENSECAG00000000577	ENSECAT00000000457
ENSECAG00000000578	ENSECAT00000000630
ENSECAG00000000579	ENSECAT00000000726
ENSECAG00000000579	ENSECAT00000000777
ENSECAG00000000580	ENSECAT00000000820
ENSECAG00000000581	ENSECAT00000000461
ENSECAG00000000582	ENSECAT00000000459
ENSECAG00000000583	ENSECAT00000000562
ENSECAG00000000584	ENSECAT00000000547
ENSECAG00000000585	ENSECAT00000000465
ENSECAG00000000586	ENSECAT00000000770
ENSECAG00000000586	ENSECAT00000000803
ENSECAG00000000587	ENSECAT00000000488
ENSECAG00000000588	ENSECAT00000002292
ENSECAG00000000588	ENSECAT00000002317
ENSECAG00000000589	ENSECAT00000000529
ENSECAG00000000590	ENSECAT00000000672
ENSECAG00000000591	ENSECAT00000000781
