ENSECAG00000000002	ENSG00000197713
ENSECAG00000000131	ENSG00000150510
ENSECAG00000000132	ENSG00000069535
ENSECAG00000000133	ENSG00000105696
ENSECAG00000000134	ENSG00000106780
ENSECAG00000000135	ENSG00000136861
ENSECAG00000000136	ENSG00000101311
ENSECAG00000000138	ENSG00000121989
ENSECAG00000000139	ENSG00000172771
ENSECAG00000000140	ENSG00000136758
ENSECAG00000000141	ENSG00000185920
ENSECAG00000000143	ENSG00000150628
ENSECAG00000000144	ENSG00000187134
ENSECAG00000000147	ENSG00000279906
ENSECAG00000000149	ENSG00000149970
ENSECAG00000000151	ENSG00000171847
ENSECAG00000000152	ENSG00000049130
ENSECAG00000000153	ENSG00000169933
ENSECAG00000000154	ENSG00000205138
ENSECAG00000000156	ENSG00000154485
ENSECAG00000000157	ENSG00000163064
ENSECAG00000000158	ENSG00000132122
ENSECAG00000000159	ENSG00000166152
ENSECAG00000000160	ENSG00000178741
ENSECAG00000000161	ENSG00000175497
ENSECAG00000000162	ENSG00000153827
ENSECAG00000000162	ENSG00000153827
ENSECAG00000000162	ENSG00000153827
ENSECAG00000000162	ENSG00000153827
ENSECAG00000000164	ENSG00000189357
ENSECAG00000000166	ENSG00000153820
ENSECAG00000000168	ENSG00000125538
ENSECAG00000000170	ENSG00000172264
ENSECAG00000000171	ENSG00000170485
ENSECAG00000000173	ENSG00000138623
ENSECAG00000000174	ENSG00000072195
ENSECAG00000000176	ENSG00000136247
ENSECAG00000000178	ENSG00000079102
ENSECAG00000000179	ENSG00000105711
ENSECAG00000000182	ENSG00000148386
ENSECAG00000000183	ENSG00000165164
ENSECAG00000000184	ENSG00000107175
ENSECAG00000000185	ENSG00000103056
ENSECAG00000000186	ENSG00000143753
ENSECAG00000000187	ENSG00000225921
ENSECAG00000000188	ENSG00000169251
ENSECAG00000000190	ENSG00000181392
ENSECAG00000000193	ENSG00000157216
ENSECAG00000000194	ENSG00000132950
ENSECAG00000000195	ENSG00000061918
ENSECAG00000000196	ENSG00000102996
ENSECAG00000000197	ENSG00000164342
ENSECAG00000000199	ENSG00000138835
ENSECAG00000000201	ENSG00000250709
ENSECAG00000000201	ENSG00000250709
ENSECAG00000000202	ENSG00000168412
ENSECAG00000000203	ENSG00000104321
ENSECAG00000000204	ENSG00000107140
ENSECAG00000000205	ENSG00000168491
ENSECAG00000000206	ENSG00000185689
ENSECAG00000000207	ENSG00000143632
ENSECAG00000000210	ENSG00000165164
ENSECAG00000000212	ENSG00000178904
ENSECAG00000000214	ENSG00000115607
ENSECAG00000000216	ENSG00000102007
ENSECAG00000000217	ENSG00000132613
ENSECAG00000000218	ENSG00000121454
ENSECAG00000000220	ENSG00000125834
ENSECAG00000000221	ENSG00000244405
ENSECAG00000000223	ENSG00000117448
ENSECAG00000000224	ENSG00000074582
ENSECAG00000000225	ENSG00000099338
ENSECAG00000000226	ENSG00000206487
ENSECAG00000000227	ENSG00000094631
ENSECAG00000000227	ENSG00000094631
ENSECAG00000000229	ENSG00000127955
ENSECAG00000000231	ENSG00000182389
ENSECAG00000000232	ENSG00000139668
ENSECAG00000000233	ENSG00000160183
ENSECAG00000000234	ENSG00000183098
ENSECAG00000000235	ENSG00000172167
ENSECAG00000008138	ENSG00000128011
ENSECAG00000008138	ENSG00000128011
ENSECAG00000014275	ENSG00000105516
ENSECAG00000014275	ENSG00000105516
ENSECAG00000024085	ENSG00000164494
ENSECAG00000024085	ENSG00000164494
ENSECAG00000022502	ENSG00000009413
ENSECAG00000022502	ENSG00000009413
ENSECAG00000022502	ENSG00000009413
ENSECAG00000022502	ENSG00000009413
ENSECAG00000000237	ENSG00000102780
ENSECAG00000000238	ENSG00000176720
ENSECAG00000000239	ENSG00000164694
ENSECAG00000000239	ENSG00000164694
ENSECAG00000000240	ENSG00000114200
ENSECAG00000000241	ENSG00000282922
ENSECAG00000000242	ENSG00000161203
ENSECAG00000000243	ENSG00000135175
ENSECAG00000000244	ENSG00000102935
ENSECAG00000026944	ENSG00000156831
ENSECAG00000000246	ENSG00000125651
ENSECAG00000000250	ENSG00000160161
ENSECAG00000000251	ENSG00000279906
ENSECAG00000000252	ENSG00000176946
ENSECAG00000000253	ENSG00000015285
ENSECAG00000000257	ENSG00000119946
ENSECAG00000000258	ENSG00000135604
ENSECAG00000000259	ENSG00000182010
ENSECAG00000000259	ENSG00000182010
ENSECAG00000000260	ENSG00000040341
ENSECAG00000000261	ENSG00000101365
ENSECAG00000000262	ENSG00000108242
ENSECAG00000000262	ENSG00000108242
ENSECAG00000000263	ENSG00000102100
ENSECAG00000000264	ENSG00000080166
ENSECAG00000000265	ENSG00000103018
ENSECAG00000000266	ENSG00000281766
ENSECAG00000000267	ENSG00000100170
ENSECAG00000000268	ENSG00000077984
ENSECAG00000000269	ENSG00000106993
ENSECAG00000000270	ENSG00000164304
ENSECAG00000000270	ENSG00000164304
ENSECAG00000000271	ENSG00000107282
ENSECAG00000000272	ENSG00000198471
ENSECAG00000000273	ENSG00000119689
ENSECAG00000026935	ENSG00000164808
ENSECAG00000026869	ENSG00000214954
ENSECAG00000026844	ENSG00000147679
ENSECAG00000000275	ENSG00000165566
ENSECAG00000000276	ENSG00000119661
ENSECAG00000000277	ENSG00000197110
ENSECAG00000000278	ENSG00000162897
ENSECAG00000000279	ENSG00000145982
ENSECAG00000000280	ENSG00000135697
ENSECAG00000000281	ENSG00000171241
ENSECAG00000000282	ENSG00000119688
ENSECAG00000000283	ENSG00000143278
ENSECAG00000000284	ENSG00000184979
ENSECAG00000000285	ENSG00000243279
ENSECAG00000000286	ENSG00000100084
ENSECAG00000000287	ENSG00000182872
ENSECAG00000000287	ENSG00000182872
ENSECAG00000000288	ENSG00000115590
ENSECAG00000000289	ENSG00000120563
ENSECAG00000000291	ENSG00000197943
ENSECAG00000000292	ENSG00000005108
ENSECAG00000000294	ENSG00000147130
ENSECAG00000000294	ENSG00000147130
ENSECAG00000000295	ENSG00000020922
ENSECAG00000000296	ENSG00000050555
ENSECAG00000000297	ENSG00000131050
ENSECAG00000000298	ENSG00000137145
ENSECAG00000000298	ENSG00000137145
ENSECAG00000000299	ENSG00000171017
ENSECAG00000000300	ENSG00000138175
ENSECAG00000000301	ENSG00000131061
ENSECAG00000000302	ENSG00000100417
ENSECAG00000000303	ENSG00000117394
ENSECAG00000000305	ENSG00000279906
ENSECAG00000000306	ENSG00000108010
ENSECAG00000000307	ENSG00000156273
ENSECAG00000000308	ENSG00000164327
ENSECAG00000000309	ENSG00000256590
ENSECAG00000000310	ENSG00000136267
ENSECAG00000000311	ENSG00000184708
ENSECAG00000000313	ENSG00000198721
ENSECAG00000000314	ENSG00000075856
ENSECAG00000000315	ENSG00000168702
ENSECAG00000000316	ENSG00000111981
ENSECAG00000000317	ENSG00000140015
ENSECAG00000000319	ENSG00000140319
ENSECAG00000000320	ENSG00000104723
ENSECAG00000000321	ENSG00000279906
ENSECAG00000000322	ENSG00000163449
ENSECAG00000000323	ENSG00000154263
ENSECAG00000000324	ENSG00000165105
ENSECAG00000000325	ENSG00000206505
ENSECAG00000000326	ENSG00000175182
ENSECAG00000000327	ENSG00000168894
ENSECAG00000000328	ENSG00000082068
ENSECAG00000000329	ENSG00000112308
ENSECAG00000000330	ENSG00000185264
ENSECAG00000000331	ENSG00000165097
ENSECAG00000000332	ENSG00000119718
ENSECAG00000000336	ENSG00000105664
ENSECAG00000000337	ENSG00000151687
ENSECAG00000000339	ENSG00000125730
ENSECAG00000000339	ENSG00000125730
ENSECAG00000000339	ENSG00000125730
ENSECAG00000000340	ENSG00000149972
ENSECAG00000000341	ENSG00000137285
ENSECAG00000000343	ENSG00000188921
ENSECAG00000000344	ENSG00000005421
ENSECAG00000000345	ENSG00000062370
ENSECAG00000000346	ENSG00000107938
ENSECAG00000000347	ENSG00000148386
ENSECAG00000000348	ENSG00000128829
ENSECAG00000000349	ENSG00000203727
ENSECAG00000000350	ENSG00000167113
ENSECAG00000000351	ENSG00000181704
ENSECAG00000000352	ENSG00000263528
ENSECAG00000000353	ENSG00000172987
ENSECAG00000000354	ENSG00000145632
ENSECAG00000000354	ENSG00000145632
ENSECAG00000000356	ENSG00000072415
ENSECAG00000000357	ENSG00000135905
ENSECAG00000000357	ENSG00000135905
ENSECAG00000000358	ENSG00000169715
ENSECAG00000000359	ENSG00000007047
ENSECAG00000000359	ENSG00000007047
ENSECAG00000000360	ENSG00000150681
ENSECAG00000000361	ENSG00000155393
ENSECAG00000000362	ENSG00000164506
ENSECAG00000000363	ENSG00000169715
ENSECAG00000000364	ENSG00000102309
ENSECAG00000000365	ENSG00000126773
ENSECAG00000000365	ENSG00000126773
ENSECAG00000000366	ENSG00000169660
ENSECAG00000000367	ENSG00000049541
ENSECAG00000000368	ENSG00000169715
ENSECAG00000000369	ENSG00000090661
ENSECAG00000000370	ENSG00000142534
ENSECAG00000000371	ENSG00000172086
ENSECAG00000000372	ENSG00000120805
ENSECAG00000000373	ENSG00000115318
ENSECAG00000000374	ENSG00000187510
ENSECAG00000000375	ENSG00000100138
ENSECAG00000000376	ENSG00000183060
ENSECAG00000000377	ENSG00000113460
ENSECAG00000000378	ENSG00000205022
ENSECAG00000000381	ENSG00000104093
ENSECAG00000000382	ENSG00000110852
ENSECAG00000000383	ENSG00000198900
ENSECAG00000000384	ENSG00000089248
ENSECAG00000000385	ENSG00000143167
ENSECAG00000000386	ENSG00000010626
ENSECAG00000000387	ENSG00000127951
ENSECAG00000000390	ENSG00000196150
ENSECAG00000000391	ENSG00000140104
ENSECAG00000000392	ENSG00000145041
ENSECAG00000000393	ENSG00000107521
ENSECAG00000000393	ENSG00000107521
ENSECAG00000000393	ENSG00000107521
ENSECAG00000000395	ENSG00000136237
ENSECAG00000000396	ENSG00000108622
ENSECAG00000000397	ENSG00000073578
ENSECAG00000000398	ENSG00000107959
ENSECAG00000000399	ENSG00000146776
ENSECAG00000000400	ENSG00000160593
ENSECAG00000000401	ENSG00000279906
ENSECAG00000000402	ENSG00000115286
ENSECAG00000000403	ENSG00000279906
ENSECAG00000000403	ENSG00000279906
ENSECAG00000000404	ENSG00000122642
ENSECAG00000000406	ENSG00000196821
ENSECAG00000000407	ENSG00000139505
ENSECAG00000000408	ENSG00000148386
ENSECAG00000000409	ENSG00000168301
ENSECAG00000000410	ENSG00000016864
ENSECAG00000000411	ENSG00000180398
ENSECAG00000000412	ENSG00000176209
ENSECAG00000000413	ENSG00000143164
ENSECAG00000000414	ENSG00000163581
ENSECAG00000000416	ENSG00000159495
ENSECAG00000000417	ENSG00000165816
ENSECAG00000000418	ENSG00000110243
ENSECAG00000000419	ENSG00000277734
ENSECAG00000000420	ENSG00000172530
ENSECAG00000000420	ENSG00000172530
ENSECAG00000000421	ENSG00000170270
ENSECAG00000000422	ENSG00000211792
ENSECAG00000000423	ENSG00000156256
ENSECAG00000000424	ENSG00000196636
ENSECAG00000000426	ENSG00000120334
ENSECAG00000000428	ENSG00000162368
ENSECAG00000000429	ENSG00000099821
ENSECAG00000000430	ENSG00000130234
ENSECAG00000000431	ENSG00000143473
ENSECAG00000000432	ENSG00000150281
ENSECAG00000000434	ENSG00000100721
ENSECAG00000000435	ENSG00000081479
ENSECAG00000000435	ENSG00000081479
ENSECAG00000000436	ENSG00000085265
ENSECAG00000000437	ENSG00000012174
ENSECAG00000000438	ENSG00000078668
ENSECAG00000000439	ENSG00000169840
ENSECAG00000000440	ENSG00000137103
ENSECAG00000000442	ENSG00000244274
ENSECAG00000000444	ENSG00000211793
ENSECAG00000000445	ENSG00000104499
ENSECAG00000000446	ENSG00000198919
ENSECAG00000000448	ENSG00000279906
ENSECAG00000000449	ENSG00000158793
ENSECAG00000000450	ENSG00000143183
ENSECAG00000000451	ENSG00000105996
ENSECAG00000000452	ENSG00000115844
ENSECAG00000000453	ENSG00000005436
ENSECAG00000000454	ENSG00000224373
ENSECAG00000000455	ENSG00000174007
ENSECAG00000000458	ENSG00000111321
ENSECAG00000000460	ENSG00000222011
ENSECAG00000000461	ENSG00000106004
ENSECAG00000000462	ENSG00000149289
ENSECAG00000000463	ENSG00000167130
ENSECAG00000000464	ENSG00000272391
ENSECAG00000000464	ENSG00000272391
ENSECAG00000000465	ENSG00000111679
ENSECAG00000000466	ENSG00000105656
ENSECAG00000000467	ENSG00000100416
ENSECAG00000000468	ENSG00000137273
ENSECAG00000000469	ENSG00000148481
ENSECAG00000000470	ENSG00000174004
ENSECAG00000000471	ENSG00000198954
ENSECAG00000000473	ENSG00000283024
ENSECAG00000000474	ENSG00000034713
ENSECAG00000000475	ENSG00000114841
ENSECAG00000000477	ENSG00000091436
ENSECAG00000000478	ENSG00000169239
ENSECAG00000000479	ENSG00000183576
ENSECAG00000000480	ENSG00000154175
ENSECAG00000000480	ENSG00000154175
ENSECAG00000000481	ENSG00000247746
ENSECAG00000000481	ENSG00000247746
ENSECAG00000000482	ENSG00000099385
ENSECAG00000000483	ENSG00000275063
ENSECAG00000000483	ENSG00000275063
ENSECAG00000000484	ENSG00000186951
ENSECAG00000000485	ENSG00000167110
ENSECAG00000000485	ENSG00000167110
ENSECAG00000000485	ENSG00000167110
ENSECAG00000000486	ENSG00000279906
ENSECAG00000000487	ENSG00000182253
ENSECAG00000000488	ENSG00000174015
ENSECAG00000000489	ENSG00000114353
ENSECAG00000000492	ENSG00000009413
ENSECAG00000000493	ENSG00000112053
ENSECAG00000000493	ENSG00000112053
ENSECAG00000000494	ENSG00000123095
ENSECAG00000000495	ENSG00000184347
ENSECAG00000000496	ENSG00000156858
ENSECAG00000000497	ENSG00000163634
ENSECAG00000000498	ENSG00000175414
ENSECAG00000000500	ENSG00000126709
ENSECAG00000000501	ENSG00000124602
ENSECAG00000000502	ENSG00000174628
ENSECAG00000000505	ENSG00000161640
ENSECAG00000000506	ENSG00000215845
ENSECAG00000000507	ENSG00000124571
ENSECAG00000000508	ENSG00000196724
ENSECAG00000000509	ENSG00000131482
ENSECAG00000000511	ENSG00000165410
ENSECAG00000000512	ENSG00000213626
ENSECAG00000000513	ENSG00000101166
ENSECAG00000000514	ENSG00000019102
ENSECAG00000000515	ENSG00000198569
ENSECAG00000000516	ENSG00000123989
ENSECAG00000000517	ENSG00000115317
ENSECAG00000000518	ENSG00000049618
ENSECAG00000000519	ENSG00000255587
ENSECAG00000000520	ENSG00000081320
ENSECAG00000000521	ENSG00000158477
ENSECAG00000000522	ENSG00000095981
ENSECAG00000000525	ENSG00000148482
ENSECAG00000000526	ENSG00000140829
ENSECAG00000000527	ENSG00000004939
ENSECAG00000000529	ENSG00000130479
ENSECAG00000000530	ENSG00000145242
ENSECAG00000000530	ENSG00000145242
ENSECAG00000000531	ENSG00000168502
ENSECAG00000000532	ENSG00000131037
ENSECAG00000000535	ENSG00000167104
ENSECAG00000000536	ENSG00000107651
ENSECAG00000000537	ENSG00000158125
ENSECAG00000000538	ENSG00000144331
ENSECAG00000000539	ENSG00000110367
ENSECAG00000000540	ENSG00000154781
ENSECAG00000000541	ENSG00000117425
ENSECAG00000000543	ENSG00000071967
ENSECAG00000000544	ENSG00000138411
ENSECAG00000000545	ENSG00000175792
ENSECAG00000000546	ENSG00000130783
ENSECAG00000000547	ENSG00000101337
ENSECAG00000000548	ENST00000615655
ENSECAG00000000550	ENSG00000083544
ENSECAG00000000551	ENSG00000196092
ENSECAG00000000552	ENSG00000162722
ENSECAG00000000554	ENSG00000185467
ENSECAG00000000555	ENSG00000163939
ENSECAG00000000555	ENSG00000163939
ENSECAG00000000556	ENSG00000144231
ENSECAG00000000557	ENSG00000165526
ENSECAG00000000558	ENSG00000170759
ENSECAG00000000559	ENSG00000158865
ENSECAG00000000560	ENSG00000164520
ENSECAG00000000562	ENSG00000099904
ENSECAG00000000564	ENSG00000130038
ENSECAG00000000565	ENSG00000035681
ENSECAG00000000566	ENSG00000184898
ENSECAG00000000567	ENSG00000170113
ENSECAG00000000568	ENSG00000167904
ENSECAG00000000571	ENSG00000187689
ENSECAG00000000572	ENSG00000137166
ENSECAG00000000574	ENSG00000172548
ENSECAG00000000575	ENSG00000106006
ENSECAG00000000576	ENSG00000107872
ENSECAG00000000577	ENSG00000129562
ENSECAG00000000578	ENSG00000100503
ENSECAG00000000579	ENSG00000140470
ENSECAG00000000579	ENSG00000140470
ENSECAG00000000580	ENSG00000070610
ENSECAG00000000583	ENSG00000164746
ENSECAG00000000584	ENSG00000115944
ENSECAG00000000585	ENSG00000009413
ENSECAG00000000586	ENSG00000167702
ENSECAG00000000586	ENSG00000167702
ENSECAG00000000587	ENSG00000130032
ENSECAG00000000588	ENSG00000143434
ENSECAG00000000588	ENSG00000143434
ENSECAG00000000589	ENSG00000134240
ENSECAG00000000590	ENSG00000278845
ENSECAG00000000591	ENSG00000056972
ENSECAG00000000592	ENSG00000008324
ENSECAG00000000593	ENSG00000105894
ENSECAG00000000594	ENSG00000053371
ENSECAG00000000595	ENSG00000014824
ENSECAG00000000596	ENSG00000137177
ENSECAG00000000596	ENSG00000137177
ENSECAG00000000597	ENSG00000167077
ENSECAG00000000597	ENSG00000167077
ENSECAG00000000598	ENSG00000177025
ENSECAG00000000599	ENSG00000169851
ENSECAG00000000602	ENSG00000211787
ENSECAG00000000603	ENSG00000102967
ENSECAG00000000604	ENSG00000197376
ENSECAG00000000605	ENSG00000093183
ENSECAG00000000606	ENSG00000130772
ENSECAG00000000607	ENSG00000101255
ENSECAG00000000608	ENSG00000110888
ENSECAG00000000608	ENSG00000110888
ENSECAG00000000609	ENSG00000110330
ENSECAG00000000612	ENSG00000277656
ENSECAG00000000614	ENSG00000143376
ENSECAG00000000616	ENSG00000043039
ENSECAG00000000619	ENSG00000186376
ENSECAG00000000620	ENSG00000122026
ENSECAG00000000621	ENSG00000185122
ENSECAG00000000621	ENSG00000185122
ENSECAG00000000622	ENSG00000117266
ENSECAG00000000623	ENSG00000071564
ENSECAG00000000624	ENSG00000175354
ENSECAG00000000625	ENSG00000130224
ENSECAG00000000626	ENSG00000140992
ENSECAG00000000627	ENSG00000165966
ENSECAG00000000628	ENSG00000282610
ENSECAG00000000631	ENSG00000134900
ENSECAG00000000631	ENSG00000134900
ENSECAG00000000632	ENSG00000160746
ENSECAG00000000633	ENSG00000122952
ENSECAG00000000634	ENSG00000130768
ENSECAG00000000636	ENSG00000242852
ENSECAG00000000637	ENSG00000067191
ENSECAG00000000638	ENSG00000091490
ENSECAG00000000639	ENSG00000198753
ENSECAG00000000639	ENSG00000198753
ENSECAG00000000640	ENSG00000240891
ENSECAG00000000641	ENSG00000118495
ENSECAG00000000642	ENSG00000116560
ENSECAG00000000643	ENSG00000131269
ENSECAG00000000644	ENSG00000129680
ENSECAG00000000645	ENSG00000120798
ENSECAG00000000647	ENSG00000282939
ENSECAG00000000648	ENSG00000178177
ENSECAG00000000648	ENSG00000178177
ENSECAG00000000650	ENSG00000135838
ENSECAG00000000651	ENSG00000133710
ENSECAG00000000651	ENSG00000133710
ENSECAG00000000651	ENSG00000133710
ENSECAG00000000653	ENSG00000221944
ENSECAG00000000655	ENSG00000172331
ENSECAG00000000657	ENSG00000157211
ENSECAG00000000658	ENSG00000136235
ENSECAG00000000659	ENSG00000117971
ENSECAG00000000660	ENSG00000163421
ENSECAG00000000661	ENSG00000179914
ENSECAG00000000662	ENSG00000146151
ENSECAG00000000665	ENSG00000104946
ENSECAG00000000666	ENSG00000110318
ENSECAG00000026943	ENSG00000104231
ENSECAG00000026976	ENSG00000258677
ENSECAG00000000669	ENSG00000113732
ENSECAG00000000671	ENSG00000148814
ENSECAG00000000673	ENSG00000079432
ENSECAG00000000674	ENSG00000140511
ENSECAG00000000675	ENSG00000145916
ENSECAG00000000678	ENSG00000066136
ENSECAG00000000679	ENSG00000139515
ENSECAG00000000680	ENSG00000176087
ENSECAG00000000681	ENSG00000196407
ENSECAG00000000682	ENSG00000136521
ENSECAG00000000683	ENSG00000015171
ENSECAG00000000684	ENSG00000155666
ENSECAG00000000685	ENSG00000273686
ENSECAG00000000686	ENSG00000162511
ENSECAG00000000689	ENSG00000163605
ENSECAG00000000690	ENSG00000076242
ENSECAG00000000690	ENSG00000076242
ENSECAG00000000691	ENSG00000136709
ENSECAG00000000692	ENSG00000108679
ENSECAG00000000693	ENSG00000169085
ENSECAG00000000696	ENSG00000172426
ENSECAG00000000696	ENSG00000172426
ENSECAG00000000696	ENSG00000172426
ENSECAG00000000697	ENSG00000090013
ENSECAG00000000698	ENSG00000137726
ENSECAG00000000699	ENSG00000157103
ENSECAG00000000700	ENSG00000136628
ENSECAG00000000701	ENSG00000115414
ENSECAG00000000701	ENSG00000115414
ENSECAG00000000701	ENSG00000115414
ENSECAG00000000702	ENSG00000147378
ENSECAG00000000703	ENSG00000151093
ENSECAG00000000705	ENSG00000173838
ENSECAG00000000705	ENSG00000173838
ENSECAG00000000706	ENSG00000157890
ENSECAG00000000707	ENSG00000113722
ENSECAG00000000708	ENSG00000205323
ENSECAG00000000709	ENSG00000146938
ENSECAG00000000710	ENSG00000178233
ENSECAG00000000711	ENSG00000121058
ENSECAG00000000712	ENSG00000119705
ENSECAG00000000713	ENSG00000111554
ENSECAG00000000713	ENSG00000111554
ENSECAG00000000714	ENSG00000164451
ENSECAG00000000715	ENSG00000110031
ENSECAG00000000716	ENSG00000185236
ENSECAG00000000718	ENSG00000276833
ENSECAG00000000719	ENSG00000131686
ENSECAG00000000719	ENSG00000131686
ENSECAG00000000720	ENSG00000184530
ENSECAG00000000721	ENSG00000136449
ENSECAG00000000722	ENSG00000132640
ENSECAG00000000723	ENSG00000139428
ENSECAG00000000725	ENSG00000015171
ENSECAG00000000726	ENSG00000180806
ENSECAG00000000727	ENSG00000170801
ENSECAG00000000728	ENSG00000197563
ENSECAG00000000730	ENSG00000188643
ENSECAG00000000731	ENSG00000165863
ENSECAG00000000732	ENSG00000235657
ENSECAG00000000733	ENSG00000141428
ENSECAG00000000734	ENSG00000137309
ENSECAG00000000735	ENSG00000079277
ENSECAG00000000737	ENSG00000108946
ENSECAG00000000738	ENSG00000153015
ENSECAG00000000739	ENSG00000174016
ENSECAG00000000740	ENSG00000184530
ENSECAG00000000741	ENSG00000282618
ENSECAG00000000743	ENSG00000143363
ENSECAG00000000744	ENSG00000095383
ENSECAG00000000745	ENSG00000211445
ENSECAG00000000746	ENSG00000084731
ENSECAG00000000748	ENSG00000163646
ENSECAG00000000749	ENSG00000091140
ENSECAG00000000750	ENSG00000149968
ENSECAG00000000751	ENSG00000049759
ENSECAG00000000752	ENSG00000135373
ENSECAG00000000753	ENSG00000052841
ENSECAG00000000755	ENST00000382298
ENSECAG00000000757	ENSG00000129534
ENSECAG00000000758	ENSG00000137225
ENSECAG00000000758	ENSG00000137225
ENSECAG00000000759	ENSG00000141425
ENSECAG00000000761	ENSG00000269437
ENSECAG00000000762	ENSG00000197312
ENSECAG00000000762	ENSG00000197312
ENSECAG00000000763	ENSG00000144655
ENSECAG00000000764	ENSG00000162643
ENSECAG00000000764	ENSG00000162643
ENSECAG00000000765	ENSG00000279906
ENSECAG00000000766	ENSG00000279906
ENSECAG00000000767	ENSG00000033867
ENSECAG00000000767	ENSG00000033867
ENSECAG00000000767	ENSG00000033867
ENSECAG00000000768	ENSG00000079435
ENSECAG00000000769	ENSG00000204979
ENSECAG00000000770	ENSG00000181830
ENSECAG00000000771	ENSG00000078900
ENSECAG00000000773	ENSG00000131067
ENSECAG00000000774	ENSG00000206072
ENSECAG00000000775	ENSG00000172116
ENSECAG00000000777	ENSG00000279906
ENSECAG00000000778	ENSG00000125999
